"gene","rank","log2FoldChange","padj"
"Vfaba.Hedin2.R1.1g344560",1,9.85328064850625,1.52067079812095e-13
"Vfaba.Hedin2.R1.2g095520",2,8.90838033599598,2.52105816669636e-173
"Vfaba.Hedin2.R1.6g016240",3,8.80625311296051,8.12562242096909e-05
"Vfaba.Hedin2.R1.1g056200",4,8.389132916484,8.98477682023965e-10
"Vfaba.Hedin2.R1.4g121680",5,8.28601367868395,1.2655539123014e-08
"Vfaba.Hedin2.R1.6g139720",6,8.19674174011253,8.5101175553106e-12
"Vfaba.Hedin2.R1.5g157240",7,8.15847152989306,1.9182040339155e-08
"Vfaba.Hedin2.R1.2g016040",8,8.00956744175488,2.16765113153046e-15
"Vfaba.Hedin2.R1.6g139880",9,7.48349357165146,4.69935115949267e-62
"Vfaba.Hedin2.R1.2g024840",10,7.42104018654483,2.76108079921885e-06
"Vfaba.Hedin2.R1.5g092080",11,7.31465519272175,8.96519921174304e-19
"Vfaba.Hedin2.R1.2g047440",12,7.30621257905238,4.46702191533745e-06
"Vfaba.Hedin2.R1.1g056240",13,7.26206765563711,4.65589052252637e-29
"Vfaba.Hedin2.R1.3g091960",14,7.21078390677491,1.25844442402803e-11
"Vfaba.Hedin2.R1.4g202080",15,7.20243626580763,2.14236908490451e-118
"Vfaba.Hedin2.R1.1g244320",16,7.18239587041687,1.2496148628292e-05
"Vfaba.Hedin2.R1.1g443600",17,7.18199102700431,1.19442970369554e-05
"Vfaba.Hedin2.R1.5g175640",18,6.93449027624905,4.78789501549111e-05
"Vfaba.Hedin2.R1.2g101120",19,6.90266579142105,3.85987042140045e-119
"Vfaba.Hedin2.R1.2g127280",20,6.89816014640468,4.66797304171569e-06
"Vfaba.Hedin2.R1.4g239640",21,6.83811351061335,0.00467254515117089
"Vfaba.Hedin2.R1.6g140360",22,6.81172407984718,8.71235732248333e-05
"Vfaba.Hedin2.R1.3g212200",23,6.78829816137894,4.09221218920859e-13
"Vfaba.Hedin2.R1.2g152920",24,6.7658911162646,0.000129466623121587
"Vfaba.Hedin2.R1.6g034240",25,6.75861643869316,1.2017810817685e-05
"Vfaba.Hedin2.R1.3g084000",26,6.72476478199648,0.000122222236263701
"Vfaba.Hedin2.R1.1g398400",27,6.6546198321015,0.000206410350501138
"Vfaba.Hedin2.R1.3g204320",28,6.65039262236669,0.000190678022742153
"Vfaba.Hedin2.R1.2g176200",29,6.61257948925998,0.000272655544253759
"Vfaba.Hedin2.R1.4g085040",30,6.60825002532658,0.000276207078830634
"Vfaba.Hedin2.R1.5g162800",31,6.56691343513833,0.000345952720316747
"Vfaba.Hedin2.R1.5g175560",32,6.55049582395079,0.000366256528161364
"Vfaba.Hedin2.R1.1g473320",33,6.53015186759573,7.95543434079872e-06
"Vfaba.Hedin2.R1.6g083200",34,6.52313396557816,4.24820561449321e-07
"Vfaba.Hedin2.R1.2g063280",35,6.51719196609124,0.000411719367998765
"Vfaba.Hedin2.R1.4g037520",36,6.44839349487883,5.1926870155215e-05
"Vfaba.Hedin2.R1.2g180560",37,6.42024878712259,0.000416762819224722
"Vfaba.Hedin2.R1.1g473200",38,6.39989180549076,1.7577729478746e-256
"Vfaba.Hedin2.R1.4g147400",39,6.38473325030508,4.68214714683492e-05
"Vfaba.Hedin2.R1.4g095600",40,6.36699515065957,0.000854458372090235
"Vfaba.Hedin2.R1.3g218320",41,6.35579528759261,0.000858585182457264
"Vfaba.Hedin2.R1.3g092000",42,6.34717429172765,1.75579499640861e-35
"Vfaba.Hedin2.R1.3g192760",43,6.34293255329531,0.000514440905551339
"Vfaba.Hedin2.R1.4g037840",44,6.3414236174577,2.53248661321807e-143
"Vfaba.Hedin2.R1.5g173840",45,6.30980133858795,9.39027185271983e-05
"Vfaba.Hedin2.R1.6g139840",46,6.28896143833479,1.57203645615233e-07
"Vfaba.Hedin2.R1.5g189320",47,6.25721246259961,0.000943315627149789
"Vfaba.Hedin2.R1.5g082200",48,6.19801044308138,0.000166088349676525
"Vfaba.Hedin2.R1.1g385600",49,6.15412153071202,0.00184947288880265
"Vfaba.Hedin2.R1.4g198640",50,6.15249065953317,0.00206680993902353
"Vfaba.Hedin2.R1.2g198520",51,6.14953750800816,0.00149541349317987
"Vfaba.Hedin2.R1.1g195480",52,6.13763350889479,0.00121261904140048
"Vfaba.Hedin2.R1.1g184880",53,6.12043248977192,0.00237042590616183
"Vfaba.Hedin2.R1.4g143080",54,6.1055698976941,1.00028284917542e-09
"Vfaba.Hedin2.R1.3g048520",55,6.09795474279225,0.00273512671654221
"Vfaba.Hedin2.R1.3g145200",56,6.08909563935907,5.3333638661319e-08
"Vfaba.Hedin2.R1.1g410080",57,6.08893296985517,2.94898003901488e-69
"Vfaba.Hedin2.R1.3g138760",58,6.0381835144881,0.00287826381504028
"Vfaba.Hedin2.R1.1g490040",59,6.01584389178162,0.00368297291545164
"Vfaba.Hedin2.R1.3g111520",60,5.99936738704103,8.69599752716225e-66
"Vfaba.Hedin2.R1.3g118360",61,5.98891817518219,0.00310798357791495
"Vfaba.Hedin2.R1.3g180080",62,5.95940877322644,3.88572723366609e-20
"Vfaba.Hedin2.R1.4g093480",63,5.93567333226351,0.00508135937620262
"Vfaba.Hedin2.R1.6g179880",64,5.91920528782119,0.00515556710992548
"Vfaba.Hedin2.R1.3g175880",65,5.91453661991622,0.00289076692181815
"Vfaba.Hedin2.R1.1g440800",66,5.90334318107463,0.00501349972704893
"Vfaba.Hedin2.R1.2g111360",67,5.89893479192418,0.00525478298591593
"Vfaba.Hedin2.R1.1g410040",68,5.87713048464013,1.48984788072987e-105
