GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (4562)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of salicylic acid mediated signaling pathway (GO:0080151)	2	2	.16	+	12.24	6.67E-03	5.19E-02
regulation of microtubule nucleation (GO:0010968)	2	2	.16	+	12.24	6.67E-03	5.17E-02
mitochondrial tRNA modification (GO:0070900)	2	2	.16	+	12.24	6.67E-03	5.16E-02
response to DNA damage checkpoint signaling (GO:0072423)	2	2	.16	+	12.24	6.67E-03	5.15E-02
response to DNA integrity checkpoint signaling (GO:0072402)	2	2	.16	+	12.24	6.67E-03	5.14E-02
mitochondrial DNA repair (GO:0043504)	2	2	.16	+	12.24	6.67E-03	5.13E-02
box H/ACA snoRNP assembly (GO:0000493)	2	2	.16	+	12.24	6.67E-03	5.12E-02
radial microtubular system formation (GO:0010245)	2	2	.16	+	12.24	6.67E-03	5.11E-02
actin crosslink formation (GO:0051764)	2	2	.16	+	12.24	6.67E-03	5.10E-02
siroheme metabolic process (GO:0046156)	2	2	.16	+	12.24	6.67E-03	5.09E-02
etioplast organization (GO:0009662)	2	2	.16	+	12.24	6.67E-03	5.08E-02
response to cell cycle checkpoint signaling (GO:0072396)	2	2	.16	+	12.24	6.67E-03	5.07E-02
regulation of mitochondrial mRNA stability (GO:0044528)	2	2	.16	+	12.24	6.67E-03	5.06E-02
cellular response to biotic stimulus (GO:0071216)	2	2	.16	+	12.24	6.67E-03	5.05E-02
syncytium formation (GO:0006949)	4	4	.33	+	12.24	4.45E-05	8.64E-04
cytokinetic process (GO:0032506)	2	2	.16	+	12.24	6.67E-03	5.04E-02
dUTP catabolic process (GO:0046081)	2	2	.16	+	12.24	6.67E-03	5.03E-02
dUTP metabolic process (GO:0046080)	2	2	.16	+	12.24	6.67E-03	5.02E-02
dUMP metabolic process (GO:0046078)	2	2	.16	+	12.24	6.67E-03	5.01E-02
siroheme biosynthetic process (GO:0019354)	2	2	.16	+	12.24	6.67E-03	5.00E-02
dUMP biosynthetic process (GO:0006226)	2	2	.16	+	12.24	6.67E-03	4.99E-02
cell plate assembly (GO:0000919)	2	2	.16	+	12.24	6.67E-03	4.98E-02
phragmoplast assembly (GO:0000914)	2	2	.16	+	12.24	6.67E-03	4.97E-02
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	2	2	.16	+	12.24	6.67E-03	4.96E-02
cAMP-mediated signaling (GO:0019933)	2	2	.16	+	12.24	6.67E-03	4.95E-02
cell volume homeostasis (GO:0006884)	2	2	.16	+	12.24	6.67E-03	4.94E-02
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	2	2	.16	+	12.24	6.67E-03	4.93E-02
positive regulation of cytokinesis (GO:0032467)	2	2	.16	+	12.24	6.67E-03	4.92E-02
regulation of spindle checkpoint (GO:0090231)	2	2	.16	+	12.24	6.67E-03	4.91E-02
nucleoid organization (GO:0090143)	4	4	.33	+	12.24	4.45E-05	8.60E-04
regulation of mitotic spindle checkpoint (GO:1903504)	2	2	.16	+	12.24	6.67E-03	4.90E-02
mitotic cytokinetic process (GO:1902410)	2	2	.16	+	12.24	6.67E-03	4.89E-02
assembly of actomyosin apparatus involved in mitotic cytokinesis (GO:1902407)	2	2	.16	+	12.24	6.67E-03	4.88E-02
para-aminobenzoic acid metabolic process (GO:0046482)	2	2	.16	+	12.24	6.67E-03	4.87E-02
glucose catabolic process (GO:0006007)	2	2	.16	+	12.24	6.67E-03	4.86E-02
leaf morphogenesis (GO:0009965)	2	2	.16	+	12.24	6.67E-03	4.85E-02
mitochondrial tRNA 3'-end processing (GO:1990180)	2	2	.16	+	12.24	6.67E-03	4.84E-02
regulation of microtubule polymerization (GO:0031113)	2	2	.16	+	12.24	6.67E-03	4.83E-02
mitochondrial tRNA processing (GO:0090646)	4	4	.33	+	12.24	4.45E-05	8.55E-04
oxidation-dependent protein catabolic process (GO:0070407)	2	2	.16	+	12.24	6.67E-03	4.82E-02
4-aminobenzoate biosynthetic process (GO:0008153)	2	2	.16	+	12.24	6.67E-03	4.81E-02
alkaloid metabolic process (GO:0009820)	2	2	.16	+	12.24	6.67E-03	4.80E-02
cell-cell adhesion (GO:0098609)	3	3	.25	+	12.24	5.45E-04	7.21E-03
biological process involved in intraspecies interaction between organisms (GO:0051703)	3	3	.25	+	12.24	5.45E-04	7.18E-03
glycolipid catabolic process (GO:0019377)	3	3	.25	+	12.24	5.45E-04	7.16E-03
miRNA transport (GO:1990428)	6	6	.49	+	12.24	2.96E-07	1.07E-05
glycosphingolipid catabolic process (GO:0046479)	3	3	.25	+	12.24	5.45E-04	7.13E-03
glycosylceramide catabolic process (GO:0046477)	3	3	.25	+	12.24	5.45E-04	7.11E-03
glucosylceramide catabolic process (GO:0006680)	3	3	.25	+	12.24	5.45E-04	7.08E-03
pollen tube adhesion (GO:0009865)	3	3	.25	+	12.24	5.45E-04	7.06E-03
L-alanine transport (GO:0015808)	5	5	.41	+	12.24	3.63E-06	9.57E-05
alanine transport (GO:0032328)	5	5	.41	+	12.24	3.63E-06	9.50E-05
cell cycle DNA replication initiation (GO:1902292)	10	8	.82	+	9.79	7.63E-08	3.27E-06
DNA replication proofreading (GO:0045004)	5	4	.41	+	9.79	2.08E-04	3.24E-03
base-excision repair, gap-filling (GO:0006287)	5	4	.41	+	9.79	2.08E-04	3.22E-03
nuclear cell cycle DNA replication initiation (GO:1902315)	10	8	.82	+	9.79	7.63E-08	3.24E-06
mitotic DNA replication initiation (GO:1902975)	10	8	.82	+	9.79	7.63E-08	3.20E-06
molybdate ion transport (GO:0015689)	12	9	.98	+	9.18	2.81E-08	1.30E-06
glycerol-3-phosphate catabolic process (GO:0046168)	10	7	.82	+	8.57	2.32E-06	6.65E-05
inositol phosphate biosynthetic process (GO:0032958)	10	7	.82	+	8.57	2.32E-06	6.59E-05
L-serine biosynthetic process (GO:0006564)	10	7	.82	+	8.57	2.32E-06	6.54E-05
response to monosaccharide (GO:0034284)	6	4	.49	+	8.16	5.83E-04	7.47E-03
