GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3524)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of salicylic acid mediated signaling pathway (GO:0080151)	2	2	.13	+	15.85	3.98E-03	3.50E-02
mitochondrial tRNA modification (GO:0070900)	2	2	.13	+	15.85	3.98E-03	3.49E-02
box H/ACA snoRNP assembly (GO:0000493)	2	2	.13	+	15.85	3.98E-03	3.48E-02
radial microtubular system formation (GO:0010245)	2	2	.13	+	15.85	3.98E-03	3.47E-02
actin crosslink formation (GO:0051764)	2	2	.13	+	15.85	3.98E-03	3.47E-02
snoRNA guided rRNA pseudouridine synthesis (GO:0000454)	2	2	.13	+	15.85	3.98E-03	3.46E-02
siroheme metabolic process (GO:0046156)	2	2	.13	+	15.85	3.98E-03	3.45E-02
etioplast organization (GO:0009662)	2	2	.13	+	15.85	3.98E-03	3.44E-02
regulation of mitochondrial mRNA stability (GO:0044528)	2	2	.13	+	15.85	3.98E-03	3.43E-02
syncytium formation (GO:0006949)	4	4	.25	+	15.85	1.58E-05	3.01E-04
cytokinetic process (GO:0032506)	2	2	.13	+	15.85	3.98E-03	3.43E-02
dUTP catabolic process (GO:0046081)	2	2	.13	+	15.85	3.98E-03	3.42E-02
dUTP metabolic process (GO:0046080)	2	2	.13	+	15.85	3.98E-03	3.41E-02
dUMP metabolic process (GO:0046078)	2	2	.13	+	15.85	3.98E-03	3.40E-02
siroheme biosynthetic process (GO:0019354)	2	2	.13	+	15.85	3.98E-03	3.39E-02
dUMP biosynthetic process (GO:0006226)	2	2	.13	+	15.85	3.98E-03	3.39E-02
phragmoplast assembly (GO:0000914)	2	2	.13	+	15.85	3.98E-03	3.38E-02
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	2	2	.13	+	15.85	3.98E-03	3.37E-02
cAMP-mediated signaling (GO:0019933)	2	2	.13	+	15.85	3.98E-03	3.36E-02
cell volume homeostasis (GO:0006884)	2	2	.13	+	15.85	3.98E-03	3.36E-02
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	2	2	.13	+	15.85	3.98E-03	3.35E-02
regulation of spindle checkpoint (GO:0090231)	2	2	.13	+	15.85	3.98E-03	3.34E-02
regulation of mitotic spindle checkpoint (GO:1903504)	2	2	.13	+	15.85	3.98E-03	3.33E-02
mitotic cytokinetic process (GO:1902410)	2	2	.13	+	15.85	3.98E-03	3.33E-02
assembly of actomyosin apparatus involved in mitotic cytokinesis (GO:1902407)	2	2	.13	+	15.85	3.98E-03	3.32E-02
glucose catabolic process (GO:0006007)	2	2	.13	+	15.85	3.98E-03	3.31E-02
leaf morphogenesis (GO:0009965)	2	2	.13	+	15.85	3.98E-03	3.30E-02
mitochondrial tRNA 3'-end processing (GO:1990180)	2	2	.13	+	15.85	3.98E-03	3.30E-02
regulation of plasma membrane sterol distribution (GO:0097036)	2	2	.13	+	15.85	3.98E-03	3.29E-02
mitochondrial tRNA processing (GO:0090646)	4	4	.25	+	15.85	1.58E-05	3.00E-04
oxidation-dependent protein catabolic process (GO:0070407)	2	2	.13	+	15.85	3.98E-03	3.28E-02
alkaloid metabolic process (GO:0009820)	2	2	.13	+	15.85	3.98E-03	3.27E-02
cell-cell adhesion (GO:0098609)	3	3	.19	+	15.85	2.51E-04	3.31E-03
biological process involved in intraspecies interaction between organisms (GO:0051703)	3	3	.19	+	15.85	2.51E-04	3.30E-03
miRNA transport (GO:1990428)	6	6	.38	+	15.85	6.28E-08	2.55E-06
pollen tube adhesion (GO:0009865)	3	3	.19	+	15.85	2.51E-04	3.29E-03
secondary alcohol biosynthetic process (GO:1902653)	6	5	.38	+	13.21	5.67E-06	1.21E-04
cholesterol biosynthetic process (GO:0006695)	6	5	.38	+	13.21	5.67E-06	1.20E-04
cell cycle DNA replication initiation (GO:1902292)	10	8	.63	+	12.68	1.00E-08	5.06E-07
DNA replication proofreading (GO:0045004)	5	4	.32	+	12.68	7.51E-05	1.19E-03
base-excision repair, gap-filling (GO:0006287)	5	4	.32	+	12.68	7.51E-05	1.18E-03
nuclear cell cycle DNA replication initiation (GO:1902315)	10	8	.63	+	12.68	1.00E-08	4.99E-07
mitotic DNA replication initiation (GO:1902975)	10	8	.63	+	12.68	1.00E-08	4.92E-07
tRNA 3'-terminal CCA addition (GO:0001680)	8	6	.50	+	11.89	1.57E-06	3.93E-05
regulation of cellular response to heat (GO:1900034)	4	3	.25	+	11.89	9.56E-04	1.05E-02
tRNA 3'-end processing (GO:0042780)	11	8	.69	+	11.53	3.46E-08	1.54E-06
L-serine biosynthetic process (GO:0006564)	10	7	.63	+	11.09	4.01E-07	1.30E-05
response to monosaccharide (GO:0034284)	6	4	.38	+	10.57	2.14E-04	2.90E-03
response to glucose (GO:0009749)	6	4	.38	+	10.57	2.14E-04	2.88E-03
response to hexose (GO:0009746)	6	4	.38	+	10.57	2.14E-04	2.87E-03
tRNA-guanine transglycosylation (GO:0101030)	6	4	.38	+	10.57	2.14E-04	2.86E-03
double-strand break repair via break-induced replication (GO:0000727)	21	13	1.32	+	9.81	3.09E-11	2.48E-09
L-leucine biosynthetic process (GO:0009098)	17	10	1.07	+	9.32	1.27E-08	6.03E-07
molybdate ion transport (GO:0015689)	12	7	.76	+	9.25	2.36E-06	5.56E-05
plastid transcription (GO:0042793)	12	7	.76	+	9.25	2.36E-06	5.52E-05
ribulose bisphosphate carboxylase complex assembly (GO:0110102)	7	4	.44	+	9.06	4.74E-04	5.84E-03
leading strand elongation (GO:0006272)	11	6	.69	+	8.65	2.20E-05	4.02E-04
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	38	20	2.40	+	8.34	1.05E-14	1.39E-12
polyketide biosynthetic process (GO:0030639)	21	11	1.32	+	8.30	1.21E-08	5.89E-07
polyketide metabolic process (GO:0030638)	21	11	1.32	+	8.30	1.21E-08	5.81E-07
citrate metabolic process (GO:0006101)	8	4	.50	+	7.92	9.01E-04	9.99E-03
endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)	6	3	.38	+	7.92	4.34E-03	3.49E-02
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)	6	3	.38	+	7.92	4.34E-03	3.48E-02
glycerol-3-phosphate catabolic process (GO:0046168)	10	5	.63	+	7.92	1.92E-04	2.66E-03
cholesterol metabolic process (GO:0008203)	10	5	.63	+	7.92	1.92E-04	2.65E-03
