GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (1515)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
glycerophospholipid catabolic process (GO:0046475)	2	2	.05	+	36.87	7.35E-04	1.64E-02
dolichyl monophosphate biosynthetic process (GO:0043048)	2	2	.05	+	36.87	7.35E-04	1.63E-02
coenzyme A transport (GO:0015880)	3	2	.08	+	24.58	2.17E-03	3.98E-02
coenzyme A transmembrane transport (GO:0035349)	3	2	.08	+	24.58	2.17E-03	3.96E-02
GDP-mannose transmembrane transport (GO:1990570)	3	2	.08	+	24.58	2.17E-03	3.94E-02
mitochondrial coenzyme A transmembrane transport (GO:1990559)	3	2	.08	+	24.58	2.17E-03	3.92E-02
jasmonic acid biosynthetic process (GO:0009695)	15	9	.41	+	22.12	3.35E-11	4.13E-09
pantothenate biosynthetic process (GO:0015940)	5	3	.14	+	22.12	1.91E-04	5.19E-03
pantothenate metabolic process (GO:0015939)	5	3	.14	+	22.12	1.91E-04	5.15E-03
GMP biosynthetic process (GO:0006177)	7	4	.19	+	21.07	1.77E-05	5.78E-04
regulation of jasmonic acid mediated signaling pathway (GO:2000022)	44	24	1.19	+	20.11	2.21E-26	4.07E-23
response to wounding (GO:0009611)	40	18	1.08	+	16.59	3.69E-18	1.13E-15
long-chain fatty acid biosynthetic process (GO:0042759)	22	9	.60	+	15.08	2.81E-09	2.12E-07
copper ion homeostasis (GO:0055070)	13	5	.35	+	14.18	1.57E-05	5.21E-04
glutathione catabolic process (GO:0006751)	8	3	.22	+	13.83	1.01E-03	2.16E-02
lignin biosynthetic process (GO:0009809)	20	7	.54	+	12.90	6.06E-07	2.57E-05
negative regulation of sequestering of calcium ion (GO:0051283)	15	5	.41	+	12.29	3.49E-05	1.07E-03
regulation of sequestering of calcium ion (GO:0051282)	15	5	.41	+	12.29	3.49E-05	1.06E-03
release of sequestered calcium ion into cytosol (GO:0051209)	15	5	.41	+	12.29	3.49E-05	1.05E-03
calcium ion transmembrane import into cytosol (GO:0097553)	15	5	.41	+	12.29	3.49E-05	1.04E-03
jasmonic acid metabolic process (GO:0009694)	39	13	1.06	+	12.29	1.72E-11	2.27E-09
1-deoxy-D-xylulose 5-phosphate biosynthetic process (GO:0052865)	12	4	.33	+	12.29	2.24E-04	6.00E-03
1-deoxy-D-xylulose 5-phosphate metabolic process (GO:0052863)	12	4	.33	+	12.29	2.24E-04	5.96E-03
modified amino acid catabolic process (GO:0042219)	9	3	.24	+	12.29	1.48E-03	2.99E-02
GMP metabolic process (GO:0046037)	13	4	.35	+	11.34	3.17E-04	7.96E-03
regulation of salicylic acid mediated signaling pathway (GO:2000031)	27	8	.73	+	10.92	4.03E-07	1.77E-05
copper ion transport (GO:0006825)	20	5	.54	+	9.22	1.61E-04	4.47E-03
copper ion transmembrane transport (GO:0035434)	20	5	.54	+	9.22	1.61E-04	4.44E-03
purine nucleoside catabolic process (GO:0006152)	17	4	.46	+	8.67	9.67E-04	2.09E-02
lignan biosynthetic process (GO:0009807)	30	7	.81	+	8.60	1.25E-05	4.33E-04
lignan metabolic process (GO:0009806)	30	7	.81	+	8.60	1.25E-05	4.29E-04
oxylipin biosynthetic process (GO:0031408)	53	12	1.44	+	8.35	1.45E-08	8.50E-07
oxylipin metabolic process (GO:0031407)	53	12	1.44	+	8.35	1.45E-08	8.37E-07
1-aminocyclopropane-1-carboxylate metabolic process (GO:0018871)	18	4	.49	+	8.19	1.22E-03	2.58E-02
1-aminocyclopropane-1-carboxylate biosynthetic process (GO:0042218)	18	4	.49	+	8.19	1.22E-03	2.57E-02
fruit ripening (GO:0009835)	18	4	.49	+	8.19	1.22E-03	2.55E-02
regulation of salicylic acid biosynthetic process (GO:0080142)	19	4	.52	+	7.76	1.51E-03	3.03E-02
regulation of salicylic acid metabolic process (GO:0010337)	19	4	.52	+	7.76	1.51E-03	3.01E-02
olefin biosynthetic process (GO:1900674)	19	4	.52	+	7.76	1.51E-03	3.00E-02
olefin metabolic process (GO:1900673)	19	4	.52	+	7.76	1.51E-03	2.98E-02
ethylene biosynthetic process (GO:0009693)	19	4	.52	+	7.76	1.51E-03	2.96E-02
ethylene metabolic process (GO:0009692)	19	4	.52	+	7.76	1.51E-03	2.95E-02
alkene biosynthetic process (GO:0043450)	19	4	.52	+	7.76	1.51E-03	2.93E-02
alkene metabolic process (GO:0043449)	19	4	.52	+	7.76	1.51E-03	2.92E-02
phosphatidylinositol-mediated signaling (GO:0048015)	25	5	.68	+	7.37	4.93E-04	1.19E-02
defense response to fungus (GO:0050832)	91	18	2.47	+	7.29	4.15E-11	4.51E-09
primary alcohol biosynthetic process (GO:0034309)	22	4	.60	+	6.70	2.67E-03	4.61E-02
thiamine biosynthetic process (GO:0009228)	22	4	.60	+	6.70	2.67E-03	4.58E-02
abscisic acid-activated signaling pathway (GO:0009738)	85	15	2.31	+	6.51	8.98E-09	5.82E-07
cellular response to abscisic acid stimulus (GO:0071215)	85	15	2.31	+	6.51	8.98E-09	5.71E-07
cellular response to alcohol (GO:0097306)	85	15	2.31	+	6.51	8.98E-09	5.62E-07
regulation of defense response (GO:0031347)	122	21	3.31	+	6.35	1.66E-11	2.28E-09
