GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3703)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
thiamine transport (GO:0015888)	4	4	.27	+	15.08	1.93E-05	4.85E-04
response to nutrient (GO:0007584)	2	2	.13	+	15.08	4.39E-03	4.50E-02
azole transmembrane transport (GO:0045117)	4	4	.27	+	15.08	1.93E-05	4.81E-04
lactose catabolic process (GO:0005990)	2	2	.13	+	15.08	4.39E-03	4.48E-02
lactose metabolic process (GO:0005988)	2	2	.13	+	15.08	4.39E-03	4.47E-02
stem vascular tissue pattern formation (GO:0010222)	2	2	.13	+	15.08	4.39E-03	4.46E-02
thiamine transmembrane transport (GO:0071934)	4	4	.27	+	15.08	1.93E-05	4.78E-04
arbuscular mycorrhizal association (GO:0036377)	2	2	.13	+	15.08	4.39E-03	4.45E-02
regulation of transcription by RNA polymerase III (GO:0006359)	2	2	.13	+	15.08	4.39E-03	4.43E-02
quaternary ammonium group transport (GO:0015697)	4	4	.27	+	15.08	1.93E-05	4.75E-04
proline catabolic process to glutamate (GO:0010133)	8	8	.53	+	15.08	3.71E-10	3.42E-08
exocyst localization (GO:0051601)	2	2	.13	+	15.08	4.39E-03	4.42E-02
inositol catabolic process (GO:0019310)	7	7	.46	+	15.08	5.60E-09	3.51E-07
thiamine pyrophosphate transmembrane transport (GO:0030974)	4	4	.27	+	15.08	1.93E-05	4.72E-04
regulation of stomatal opening (GO:1902456)	3	3	.20	+	15.08	2.91E-04	5.12E-03
glycerophospholipid catabolic process (GO:0046475)	2	2	.13	+	15.08	4.39E-03	4.41E-02
negative regulation of transcription by RNA polymerase III (GO:0016480)	2	2	.13	+	15.08	4.39E-03	4.40E-02
phosphatidylserine biosynthetic process (GO:0006659)	2	2	.13	+	15.08	4.39E-03	4.39E-02
phosphatidylserine metabolic process (GO:0006658)	2	2	.13	+	15.08	4.39E-03	4.37E-02
regulation of plasma membrane sterol distribution (GO:0097036)	2	2	.13	+	15.08	4.39E-03	4.36E-02
fluoride transmembrane transport (GO:1903424)	2	2	.13	+	15.08	4.39E-03	4.35E-02
vitamin transmembrane transport (GO:0035461)	4	4	.27	+	15.08	1.93E-05	4.69E-04
proline catabolic process (GO:0006562)	8	8	.53	+	15.08	3.71E-10	3.34E-08
negative regulation of cytokinin-activated signaling pathway (GO:0080037)	6	5	.40	+	12.57	7.24E-06	2.12E-04
regulation of cytokinin-activated signaling pathway (GO:0080036)	6	5	.40	+	12.57	7.24E-06	2.11E-04
lysine biosynthetic process via aminoadipic acid (GO:0019878)	5	4	.33	+	12.07	9.13E-05	1.98E-03
