GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3657)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
inositol catabolic process (GO:0019310)	7	7	.46	+	15.27	5.13E-09	2.20E-07
response to nutrient (GO:0007584)	2	2	.13	+	15.27	4.29E-03	4.02E-02
lactose catabolic process (GO:0005990)	2	2	.13	+	15.27	4.29E-03	4.01E-02
lactose metabolic process (GO:0005988)	2	2	.13	+	15.27	4.29E-03	4.00E-02
arbuscular mycorrhizal association (GO:0036377)	2	2	.13	+	15.27	4.29E-03	3.99E-02
proline catabolic process to glutamate (GO:0010133)	8	8	.52	+	15.27	3.35E-10	1.85E-08
glycerophospholipid catabolic process (GO:0046475)	2	2	.13	+	15.27	4.29E-03	3.98E-02
phosphatidylserine biosynthetic process (GO:0006659)	2	2	.13	+	15.27	4.29E-03	3.97E-02
phosphatidylserine metabolic process (GO:0006658)	2	2	.13	+	15.27	4.29E-03	3.96E-02
regulation of plasma membrane sterol distribution (GO:0097036)	2	2	.13	+	15.27	4.29E-03	3.95E-02
fluoride transmembrane transport (GO:1903424)	2	2	.13	+	15.27	4.29E-03	3.94E-02
dolichyl monophosphate biosynthetic process (GO:0043048)	2	2	.13	+	15.27	4.29E-03	3.93E-02
proline catabolic process (GO:0006562)	8	8	.52	+	15.27	3.35E-10	1.82E-08
L-alanine transport (GO:0015808)	5	5	.33	+	15.27	1.20E-06	3.44E-05
alanine transport (GO:0032328)	5	5	.33	+	15.27	1.20E-06	3.41E-05
lysine biosynthetic process via aminoadipic acid (GO:0019878)	5	4	.33	+	12.22	8.70E-05	1.56E-03
systemic acquired resistance, salicylic acid mediated signaling pathway (GO:0009862)	5	4	.33	+	12.22	8.70E-05	1.55E-03
asparagine biosynthetic process (GO:0006529)	8	5	.52	+	9.55	5.68E-05	1.05E-03
regulation of salicylic acid biosynthetic process (GO:0080142)	19	11	1.24	+	8.84	4.32E-09	1.97E-07
regulation of salicylic acid metabolic process (GO:0010337)	19	11	1.24	+	8.84	4.32E-09	1.94E-07
aspartate family amino acid catabolic process (GO:0009068)	7	4	.46	+	8.73	5.47E-04	7.45E-03
pollen-pistil interaction (GO:0009875)	7	4	.46	+	8.73	5.47E-04	7.42E-03
L-leucine catabolic process (GO:0006552)	9	5	.59	+	8.48	1.21E-04	2.08E-03
protein homooligomerization (GO:0051260)	8	4	.52	+	7.64	1.04E-03	1.26E-02
spermine catabolic process (GO:0046208)	8	4	.52	+	7.64	1.04E-03	1.25E-02
sucrose transport (GO:0015770)	12	6	.79	+	7.64	5.14E-05	9.68E-04
negative regulation of cytokinin-activated signaling pathway (GO:0080037)	6	3	.39	+	7.64	4.83E-03	4.31E-02
regulation of cytokinin-activated signaling pathway (GO:0080036)	6	3	.39	+	7.64	4.83E-03	4.29E-02
thermospermine catabolic process (GO:1903602)	8	4	.52	+	7.64	1.04E-03	1.25E-02
thermospermine metabolic process (GO:1903601)	8	4	.52	+	7.64	1.04E-03	1.24E-02
asparagine metabolic process (GO:0006528)	10	5	.65	+	7.64	2.29E-04	3.55E-03
purine nucleoside catabolic process (GO:0006152)	17	8	1.11	+	7.19	4.77E-06	1.12E-04
oligosaccharide transport (GO:0015772)	13	6	.85	+	7.05	9.01E-05	1.60E-03
disaccharide transport (GO:0015766)	13	6	.85	+	7.05	9.01E-05	1.59E-03
CDP-choline pathway (GO:0006657)	13	6	.85	+	7.05	9.01E-05	1.58E-03
inositol metabolic process (GO:0006020)	20	9	1.31	+	6.87	1.89E-06	4.96E-05
regulation of salicylic acid mediated signaling pathway (GO:2000031)	27	12	1.77	+	6.79	4.19E-08	1.56E-06
plant-type cell wall cellulose biosynthetic process (GO:0052324)	18	8	1.18	+	6.79	8.08E-06	1.79E-04
plant-type cell wall cellulose metabolic process (GO:0052541)	18	8	1.18	+	6.79	8.08E-06	1.78E-04
cell wall beta-glucan biosynthetic process (GO:0034410)	18	8	1.18	+	6.79	8.08E-06	1.77E-04
cell wall beta-glucan metabolic process (GO:0034406)	18	8	1.18	+	6.79	8.08E-06	1.76E-04
nucleoside catabolic process (GO:0009164)	23	10	1.51	+	6.64	7.41E-07	2.26E-05
nucleobase-containing small molecule catabolic process (GO:0034656)	23	10	1.51	+	6.64	7.41E-07	2.24E-05
protein complex oligomerization (GO:0051259)	65	28	4.26	+	6.58	1.15E-16	1.33E-14
response to hydrogen peroxide (GO:0042542)	62	26	4.06	+	6.40	3.12E-15	3.11E-13
L-lysine transport (GO:1902022)	12	5	.79	+	6.36	6.43E-04	8.67E-03
L-lysine transmembrane transport (GO:1903401)	12	5	.79	+	6.36	6.43E-04	8.64E-03
pyruvate family amino acid catabolic process (GO:0009080)	17	7	1.11	+	6.29	5.55E-05	1.04E-03
polyol catabolic process (GO:0046174)	17	7	1.11	+	6.29	5.55E-05	1.04E-03
alcohol catabolic process (GO:0046164)	17	7	1.11	+	6.29	5.55E-05	1.03E-03
regulation of ketone metabolic process (GO:0010565)	27	11	1.77	+	6.22	4.56E-07	1.48E-05
glutamine family amino acid catabolic process (GO:0009065)	30	12	1.96	+	6.11	1.73E-07	5.92E-06
cellulose microfibril organization (GO:0010215)	25	10	1.64	+	6.11	1.87E-06	5.02E-05
cell wall assembly (GO:0070726)	25	10	1.64	+	6.11	1.87E-06	4.98E-05
plant-type cell wall assembly (GO:0071668)	25	10	1.64	+	6.11	1.87E-06	4.95E-05
cellular response to salicylic acid stimulus (GO:0071446)	10	4	.65	+	6.11	2.80E-03	2.81E-02
ribonucleoside catabolic process (GO:0042454)	10	4	.65	+	6.11	2.80E-03	2.80E-02
vesicle uncoating (GO:0072319)	20	8	1.31	+	6.11	2.07E-05	4.26E-04
clathrin coat disassembly (GO:0072318)	20	8	1.31	+	6.11	2.07E-05	4.24E-04
vacuolar protein processing (GO:0006624)	10	4	.65	+	6.11	2.80E-03	2.79E-02
salicylic acid mediated signaling pathway (GO:0009863)	10	4	.65	+	6.11	2.80E-03	2.78E-02
trehalose biosynthetic process (GO:0005992)	43	16	2.82	+	5.68	5.33E-09	2.24E-07
glycosyl compound catabolic process (GO:1901658)	27	10	1.77	+	5.66	4.29E-06	1.01E-04
L-ascorbic acid biosynthetic process (GO:0019853)	19	7	1.24	+	5.63	1.28E-04	2.18E-03
phosphatidylethanolamine biosynthetic process (GO:0006646)	19	7	1.24	+	5.63	1.28E-04	2.17E-03
phosphatidylethanolamine metabolic process (GO:0046337)	19	7	1.24	+	5.63	1.28E-04	2.16E-03
regulation of jasmonic acid mediated signaling pathway (GO:2000022)	44	16	2.88	+	5.55	7.87E-09	3.23E-07
trehalose metabolic process (GO:0005991)	44	16	2.88	+	5.55	7.87E-09	3.19E-07
galactose catabolic process via UDP-galactose, Leloir pathway (GO:0033499)	11	4	.72	+	5.55	4.17E-03	3.93E-02
regulation of phenylpropanoid metabolic process (GO:2000762)	14	5	.92	+	5.45	1.46E-03	1.66E-02
neutral amino acid transport (GO:0015804)	14	5	.92	+	5.45	1.46E-03	1.65E-02
glucosamine-containing compound catabolic process (GO:1901072)	31	11	2.03	+	5.42	2.32E-06	5.90E-05
branched-chain amino acid catabolic process (GO:0009083)	31	11	2.03	+	5.42	2.32E-06	5.86E-05
chitin catabolic process (GO:0006032)	31	11	2.03	+	5.42	2.32E-06	5.82E-05
chitin metabolic process (GO:0006030)	31	11	2.03	+	5.42	2.32E-06	5.78E-05
aminoglycan catabolic process (GO:0006026)	31	11	2.03	+	5.42	2.32E-06	5.74E-05
amino sugar catabolic process (GO:0046348)	31	11	2.03	+	5.42	2.32E-06	5.70E-05
spermine metabolic process (GO:0008215)	17	6	1.11	+	5.39	5.17E-04	7.07E-03
response to salicylic acid (GO:0009751)	23	8	1.51	+	5.31	6.74E-05	1.22E-03
L-amino acid catabolic process (GO:0170035)	95	33	6.22	+	5.31	5.00E-16	5.44E-14
