"gene","rank","log2FoldChange","padj"
"Vfaba.Hedin2.R1.1g377720",1,12.1609027729043,9.38367405818104e-30
"Vfaba.Hedin2.R1.3g092000",2,11.9342718050068,5.80610904503474e-15
"Vfaba.Hedin2.R1.3g091960",3,11.87802899031,3.99014649513905e-21
"Vfaba.Hedin2.R1.1g473200",4,10.8616708814381,2.73688271753741e-230
"Vfaba.Hedin2.R1.4g210880",5,10.214630776608,4.06434396591959e-15
"Vfaba.Hedin2.R1.2g095520",6,9.67933711938541,1.77628795623624e-200
"Vfaba.Hedin2.R1.1g344560",7,9.48938903775964,1.11403921583488e-12
"Vfaba.Hedin2.R1.1g056200",8,9.43631248122619,3.68708128811683e-06
"Vfaba.Hedin2.R1.1g228600",9,9.37056924450756,2.94166691026148e-12
"Vfaba.Hedin2.R1.4g202080",10,9.23249372046044,5.93416691075595e-98
"Vfaba.Hedin2.R1.3g223680",11,8.57509884911912,1.17584170793874e-09
"Vfaba.Hedin2.R1.4g121680",12,8.51188303178928,1.85036940231431e-09
"Vfaba.Hedin2.R1.6g106280",13,8.43525323991932,2.90298243516192e-09
"Vfaba.Hedin2.R1.6g083200",14,8.40082387536603,3.59751345026159e-09
"Vfaba.Hedin2.R1.1g379560",15,8.31121327274996,1.29674772857109e-09
"Vfaba.Hedin2.R1.2g101120",16,8.16296394266213,1.05115361276206e-21
"Vfaba.Hedin2.R1.1g452320",17,7.996242565889,6.39657722475787e-08
"Vfaba.Hedin2.R1.1g056240",18,7.89697283236848,8.11842078714612e-34
"Vfaba.Hedin2.R1.4g037960",19,7.85379434279609,0.000141421241097788
"Vfaba.Hedin2.R1.6g016240",20,7.70833603050089,0.013466470397253
"Vfaba.Hedin2.R1.4g210800",21,7.58903827675226,2.2706882311881e-08
"Vfaba.Hedin2.R1.2g024800",22,7.5040283453531,3.06725911015981e-10
"Vfaba.Hedin2.R1.1g195040",23,7.43716122050699,1.90288418197925e-06
"Vfaba.Hedin2.R1.1g101240",24,7.43448135473128,2.53906412871581e-06
"Vfaba.Hedin2.R1.4g085040",25,7.32515902982439,5.06313443101338e-06
"Vfaba.Hedin2.R1.2g127280",26,7.30478323306953,3.30886229635482e-07
"Vfaba.Hedin2.R1.1g195120",27,7.22082348209995,6.85821849108534e-07
"Vfaba.Hedin2.R1.5g092080",28,7.16178451961922,3.56361880401498e-26
"Vfaba.Hedin2.R1.1g244320",29,7.14655837982845,1.49227198383012e-05
"Vfaba.Hedin2.R1.6g140360",30,7.12947637331347,8.99484822366728e-07
"Vfaba.Hedin2.R1.1g440800",31,7.05605565428885,2.14667744134591e-05
"Vfaba.Hedin2.R1.3g192760",32,6.97405995249127,3.61578243514196e-05
"Vfaba.Hedin2.R1.6g160360",33,6.91359311923607,4.47718697865692e-05
"Vfaba.Hedin2.R1.1g404600",34,6.9018242016985,4.14093058976948e-05
"Vfaba.Hedin2.R1.1g443600",35,6.82954806599972,8.75671176047279e-05
"Vfaba.Hedin2.R1.3g129560",36,6.81772303210734,8.99126532833226e-05
"Vfaba.Hedin2.R1.5g026000",37,6.81619551702932,8.41858817459645e-28
"Vfaba.Hedin2.R1.2g152920",38,6.75545767916552,9.37636953231927e-05
"Vfaba.Hedin2.R1.3g225680",39,6.75129627353272,0.000114947442050014
"Vfaba.Hedin2.R1.2g047440",40,6.73985230508204,1.02625377589488e-05
"Vfaba.Hedin2.R1.3g079680",41,6.73511711660856,0.000135559962873705
"Vfaba.Hedin2.R1.2g099200",42,6.70937640220573,1.99447223202565e-25
"Vfaba.Hedin2.R1.4g210840",43,6.63549555228755,1.03619876900544e-48
"Vfaba.Hedin2.R1.3g218320",44,6.60385501694778,0.000170627940256679
"Vfaba.Hedin2.R1.1g282720",45,6.55512364264558,0.00033797975592484
"Vfaba.Hedin2.R1.4g069440",46,6.53131817185921,1.4059108642181e-26
"Vfaba.Hedin2.R1.4g197000",47,6.53039222212311,2.63869959561123e-32
"Vfaba.Hedin2.R1.5g047600",48,6.51798084589672,3.33735709634042e-05
"Vfaba.Hedin2.R1.1g473320",49,6.48463730005513,0.000474929212080122
"Vfaba.Hedin2.R1.5g048640",50,6.45720790683039,0.000515776381761527
"Vfaba.Hedin2.R1.1g101280",51,6.45185195374422,1.38017577818196e-10
"Vfaba.Hedin2.R1.5g162800",52,6.43939861874919,0.000486530470720297
"Vfaba.Hedin2.R1.6g106240",53,6.413927347249,6.60202451413104e-07
"Vfaba.Hedin2.R1.2g176200",54,6.41091155693209,0.000513558816338672
"Vfaba.Hedin2.R1.4g093000",55,6.34988190122802,1.18277584422123e-23
