"gene","rank","log2FoldChange","padj"
"Vfaba.Hedin2.R1.1g238480",1,10.2275436233751,7.34254324640385e-14
"Vfaba.Hedin2.R1.1g094760",2,9.48197891913184,9.60188911000669e-13
"Vfaba.Hedin2.R1.5g030440",3,9.00171007147422,2.17610120143249e-21
"Vfaba.Hedin2.R1.3g000640",4,8.75018273830551,4.50963870473087e-09
"Vfaba.Hedin2.R1.3g114360",5,8.67125634624453,8.26647449474808e-09
"Vfaba.Hedin2.R1.2g122960",6,8.59123541553923,1.64065899162089e-08
"Vfaba.Hedin2.R1.3g112360",7,8.58416445897111,1.77280165804123e-08
"Vfaba.Hedin2.R1.2g128720",8,8.47577821384026,2.14672368972616e-08
"Vfaba.Hedin2.R1.4g020880",9,8.34108535070332,6.56256097238833e-06
"Vfaba.Hedin2.R1.5g143760",10,8.24846388313608,1.57872364720483e-07
"Vfaba.Hedin2.R1.2g199960",11,8.20400016265291,0.00902307609933464
"Vfaba.Hedin2.R1.1g480400",12,8.15877074489388,3.56784250467626e-07
"Vfaba.Hedin2.R1.1g198320",13,8.13611260124297,4.02953726664684e-07
"Vfaba.Hedin2.R1.4g099280",14,7.90362698749434,1.12821020240605e-06
"Vfaba.Hedin2.R1.4g237640",15,7.72166352612128,5.30247436402606e-06
"Vfaba.Hedin2.R1.2g175080",16,7.51476928912133,1.29487585009547e-05
"Vfaba.Hedin2.R1.3g037400",17,7.49927859533534,9.2327323836329e-14
"Vfaba.Hedin2.R1.3g111680",18,7.32255345498086,7.09867446082597e-05
"Vfaba.Hedin2.R1.4g181880",19,7.31214961170683,7.77359347777072e-05
"Vfaba.Hedin2.R1.4g204880",20,7.29761768107045,6.61955203048553e-05
"Vfaba.Hedin2.R1.2g255560",21,7.16344667372287,4.61571398258975e-06
"Vfaba.Hedin2.R1.1g211000",22,7.153838631789,0.000142560632488271
"Vfaba.Hedin2.R1.6g046760",23,7.13129130730328,0.000204558574860755
"Vfaba.Hedin2.R1.2g035680",24,7.12493431924343,0.000180890771540299
"Vfaba.Hedin2.R1.3g236480",25,7.08791176689995,0.00023384539525705
"Vfaba.Hedin2.R1.5g158320",26,7.07395577998459,0.000234144043654737
"Vfaba.Hedin2.R1.5g109200",27,6.97686391616585,0.000458004300232611
"Vfaba.Hedin2.R1.1g331480",28,6.90417095148572,3.91551435798869e-13
"Vfaba.Hedin2.R1.1g403680",29,6.87668869713172,0.000701623743740035
"Vfaba.Hedin2.R1.2g214200",30,6.86977752788109,5.08133504626354e-05
"Vfaba.Hedin2.R1.3g058920",31,6.80595880781595,0.000100003828768463
"Vfaba.Hedin2.R1.2g105600",32,6.74662601904795,0.000105042144829726
"Vfaba.Hedin2.R1.4g019720",33,6.74606635660516,2.51427789263759e-05
"Vfaba.Hedin2.R1.1g071280",34,6.69336575909292,0.00173820732172488
"Vfaba.Hedin2.R1.6g057680",35,6.67576028439332,0.00132478829946969
"Vfaba.Hedin2.R1.6g129560",36,6.66654071996375,2.41186672939769e-05
"Vfaba.Hedin2.R1.2g265440",37,6.64970411410629,0.000438212593679309
"Vfaba.Hedin2.R1.2g021320",38,6.64901916927671,0.000701623743740035
"Vfaba.Hedin2.R1.3g001040",39,6.63648660468121,0.00129126009738625
"Vfaba.Hedin2.R1.4g128920",40,6.61105034633122,0.00191560576985609
"Vfaba.Hedin2.R1.3g053280",41,6.58968231575412,0.00274328409449871
"Vfaba.Hedin2.R1.4g124840",42,6.58194485142447,0.00211859332673979
"Vfaba.Hedin2.R1.1g473720",43,6.57895261991506,0.00196511489995719
"Vfaba.Hedin2.R1.1g181920",44,6.50609832911456,0.00159812297561168
"Vfaba.Hedin2.R1.3g116480",45,6.31318860400193,0.000732673486310378
"Vfaba.Hedin2.R1.3g199840",46,6.24492643167589,0.00691348129091329
"Vfaba.Hedin2.R1.4g182680",47,6.22877469815307,0.00669494551967098
"Vfaba.Hedin2.R1.3g044200",48,6.16796532780179,0.0114892651533375
