"gene","rank","log2FoldChange","padj"
"Vfaba.Hedin2.R1.5g030440",1,9.29764311928135,1.85263203732902e-14
"Vfaba.Hedin2.R1.2g255560",2,9.1758685741082,5.95253419190813e-11
"Vfaba.Hedin2.R1.5g143760",3,8.38386512050759,2.41245288559454e-08
"Vfaba.Hedin2.R1.3g112360",4,8.06672389563629,1.7683184692547e-07
"Vfaba.Hedin2.R1.2g175080",5,8.00803696215567,3.36149688346267e-07
"Vfaba.Hedin2.R1.3g037400",6,7.92408623238567,5.85896480022556e-14
"Vfaba.Hedin2.R1.1g094760",7,7.65432098228299,2.90852138343531e-07
"Vfaba.Hedin2.R1.4g182680",8,7.63384956828203,3.70580682179735e-06
"Vfaba.Hedin2.R1.1g238480",9,7.4743378079293,1.65577372530233e-09
"Vfaba.Hedin2.R1.2g265440",10,7.45300926031288,1.08534270259928e-05
"Vfaba.Hedin2.R1.4g181880",11,7.42806343975902,1.3060726823899e-05
"Vfaba.Hedin2.R1.3g001040",12,7.39048794498129,1.72496315214961e-05
"Vfaba.Hedin2.R1.2g265480",13,7.30581343681232,2.87815162585384e-05
"Vfaba.Hedin2.R1.1g198320",14,7.05640310682746,5.91166583375989e-06
"Vfaba.Hedin2.R1.1g163120",15,6.95402725895956,0.000192893570056778
"Vfaba.Hedin2.R1.5g158320",16,6.83376985863074,0.000278904285439403
"Vfaba.Hedin2.R1.1g373400",17,6.727500172706,0.000651743769223283
"Vfaba.Hedin2.R1.1g223800",18,6.69340480772063,0.000542207269978544
"Vfaba.Hedin2.R1.1g345000",19,6.68845826931358,2.75645767570469e-13
"Vfaba.Hedin2.R1.4g099280",20,6.67821512162652,0.000453514302451991
"Vfaba.Hedin2.R1.2g122960",21,6.66460076764377,5.73790091436743e-07
"Vfaba.Hedin2.R1.4g019720",22,6.61999583088178,0.000339326779328317
"Vfaba.Hedin2.R1.4g020880",23,6.56449530548942,2.11163974109763e-05
"Vfaba.Hedin2.R1.1g434560",24,6.55911242193243,0.00123561919063858
"Vfaba.Hedin2.R1.2g199960",25,6.52530752495419,4.5840554523232e-05
"Vfaba.Hedin2.R1.4g237640",26,6.47937366333257,0.00182260004261786
"Vfaba.Hedin2.R1.3g000640",27,6.47634389226649,2.63291222870824e-06
"Vfaba.Hedin2.R1.1g211000",28,6.45469750219829,0.000671591708740841
"Vfaba.Hedin2.R1.1g331480",29,6.43781608072048,3.03158025990623e-09
"Vfaba.Hedin2.R1.4g117320",30,6.42380232533484,0.00242608831207403
"Vfaba.Hedin2.R1.1g469280",31,6.42230920540655,0.0488295709896819
"Vfaba.Hedin2.R1.1g473720",32,6.35634048823487,0.00348814990101061
"Vfaba.Hedin2.R1.4g140200",33,6.34577129550743,0.00361284203967901
"Vfaba.Hedin2.R1.2g021320",34,6.32830911065494,0.00110156367286158
"Vfaba.Hedin2.R1.2g166560",35,6.32507110820895,0.00383508421575097
"Vfaba.Hedin2.R1.1g392080",36,6.29954899936724,0.0039004855631426
"Vfaba.Hedin2.R1.6g175120",37,6.2875176200952,0.00352468346765649
"Vfaba.Hedin2.R1.4g124840",38,6.25572169331982,0.0021504668719293
"Vfaba.Hedin2.R1.6g044920",39,6.244652240832,0.0390042278331643
"Vfaba.Hedin2.R1.4g196280",40,6.11677932479426,0.00851716899747462
"Vfaba.Hedin2.R1.6g108080",41,6.06419950345888,0.00648823263418053
"Vfaba.Hedin2.R1.5g145600",42,6.03493716310187,0.0051498599036619
"Vfaba.Hedin2.R1.1g373280",43,6.01861227321574,0.0119569819156452
"Vfaba.Hedin2.R1.6g069920",44,6.01248367348161,0.00982589150684279
"Vfaba.Hedin2.R1.3g237200",45,5.99704929687415,0.000413108316899003
"Vfaba.Hedin2.R1.1g225680",46,5.97532695005146,0.000102264690548879
"Vfaba.Hedin2.R1.1g403680",47,5.96947365426219,0.00115765916761911
"Vfaba.Hedin2.R1.6g156400",48,5.9505737011827,0.00449330488942386
"Vfaba.Hedin2.R1.2g160680",49,5.94040335242011,0.0115691325201337
"Vfaba.Hedin2.R1.3g207360",50,5.91869725119024,3.05671236729755e-07
"Vfaba.Hedin2.R1.1g179280",51,5.8713973439163,0.0135056111760904
"Vfaba.Hedin2.R1.5g067080",52,5.8530037395183,0.0155175271122578
"Vfaba.Hedin2.R1.1g373160",53,5.83456150866406,1.27121199997853e-56
"Vfaba.Hedin2.R1.6g143400",54,5.83407382542101,0.000213204786473099
"Vfaba.Hedin2.R1.4g116360",55,5.7563157707861,0.0219692425070847
"Vfaba.Hedin2.R1.6g107200",56,5.74788976190535,0.0278238493847705
