"gene","rank","log2FoldChange","padj"
"Vfaba.Hedin2.R1.3g092000",1,11.1656446511239,2.0524114613713e-18
"Vfaba.Hedin2.R1.2g042920",2,10.9541283774872,1.47979300565292e-10
"Vfaba.Hedin2.R1.2g095520",3,10.8226096259054,2.14860626165055e-49
"Vfaba.Hedin2.R1.1g377720",4,10.2575055681986,3.66727425646632e-35
"Vfaba.Hedin2.R1.1g473200",5,10.0117737923574,3.08634765057121e-277
"Vfaba.Hedin2.R1.3g091960",6,10.0104433163417,2.98621636589466e-19
"Vfaba.Hedin2.R1.4g210800",7,9.45263690889631,4.66771952972528e-13
"Vfaba.Hedin2.R1.1g344560",8,9.35196928793348,3.5024651705127e-12
"Vfaba.Hedin2.R1.1g455120",9,9.22863528704746,0.000207227599223589
"Vfaba.Hedin2.R1.5g030440",10,9.19475280575842,0.000290261676827261
"Vfaba.Hedin2.R1.4g210880",11,8.9333118367173,1.01514563541677e-21
"Vfaba.Hedin2.R1.5g082200",12,8.86355665961191,1.58706507185437e-10
"Vfaba.Hedin2.R1.4g210840",13,8.84264315466707,1.75915611338729e-15
"Vfaba.Hedin2.R1.1g228600",14,8.58550810511885,2.18203623267611e-10
"Vfaba.Hedin2.R1.1g094760",15,8.46615071059819,3.17614070420402e-09
"Vfaba.Hedin2.R1.6g095160",16,8.297204153425,3.56157011686695e-51
"Vfaba.Hedin2.R1.3g037400",17,8.27064377123251,4.89629883786408e-13
"Vfaba.Hedin2.R1.5g143760",18,8.23844598667808,1.58094305608819e-08
"Vfaba.Hedin2.R1.1g238480",19,8.19410191118316,3.58874533688043e-09
"Vfaba.Hedin2.R1.4g069440",20,8.17450204509513,5.89585128648948e-26
"Vfaba.Hedin2.R1.2g255560",21,8.0817291989389,7.34544343088618e-10
"Vfaba.Hedin2.R1.1g365040",22,8.02948791712694,6.76489424832774e-08
"Vfaba.Hedin2.R1.3g072520",23,7.98819622868154,3.86265454317945e-09
"Vfaba.Hedin2.R1.3g112360",24,7.92164675970273,1.10916656115335e-07
"Vfaba.Hedin2.R1.1g198320",25,7.86066661963352,1.86688259812817e-07
"Vfaba.Hedin2.R1.6g044920",26,7.85748952330941,1.34873857861219e-08
"Vfaba.Hedin2.R1.1g331480",27,7.7054609505306,6.65252430201442e-08
"Vfaba.Hedin2.R1.1g101280",28,7.65473325458399,2.29752628425862e-15
"Vfaba.Hedin2.R1.1g469280",29,7.57404709532126,1.19423783773386e-06
"Vfaba.Hedin2.R1.3g000640",30,7.51377209856178,0.0284393680698424
"Vfaba.Hedin2.R1.4g182680",31,7.48821520521998,2.14222482168033e-06
"Vfaba.Hedin2.R1.2g122960",32,7.44081535234594,0.0361450265428672
"Vfaba.Hedin2.R1.3g116480",33,7.35568349172871,5.14286476320277e-06
"Vfaba.Hedin2.R1.2g265440",34,7.30924027992228,6.2669462709059e-06
"Vfaba.Hedin2.R1.4g181880",35,7.28417312590722,7.49515477607798e-06
"Vfaba.Hedin2.R1.3g001040",36,7.24567545827397,9.86252009704789e-06
"Vfaba.Hedin2.R1.1g241640",37,7.24135533958852,9.18542298141536e-06
"Vfaba.Hedin2.R1.2g265480",38,7.161025409086,1.64296600189608e-05
"Vfaba.Hedin2.R1.6g019960",39,7.15085918024059,1.72953311153662e-05
"Vfaba.Hedin2.R1.4g202080",40,7.13778232544113,2.18814368215069e-62
"Vfaba.Hedin2.R1.3g207360",41,7.12135856895002,0.00976108947056927
"Vfaba.Hedin2.R1.1g101240",42,7.0957567620575,1.1238437559132e-06
"Vfaba.Hedin2.R1.6g122240",43,7.06037377579674,2.77709796422846e-05
"Vfaba.Hedin2.R1.1g473240",44,7.04052129600275,2.85966277525066e-74
"Vfaba.Hedin2.R1.4g047840",45,7.01136470041914,2.75048972761051e-05
"Vfaba.Hedin2.R1.3g138760",46,6.91616992100246,6.4064836487743e-05
"Vfaba.Hedin2.R1.2g175080",47,6.91319075519135,4.81143430898854e-06
"Vfaba.Hedin2.R1.1g179240",48,6.90917073761014,6.47798540750276e-05
"Vfaba.Hedin2.R1.1g163120",49,6.809555953027,0.000106899693239157
"Vfaba.Hedin2.R1.1g015320",50,6.7605745650616,0.000114083275594558
"Vfaba.Hedin2.R1.1g392360",51,6.75979848846283,9.69108509383324e-05
"Vfaba.Hedin2.R1.4g093000",52,6.7589143935327,3.72657005250201e-29
"Vfaba.Hedin2.R1.3g223680",53,6.75306670719565,9.92334744835419e-08
"Vfaba.Hedin2.R1.1g099680",54,6.71925997392927,0.000164053975775045
"Vfaba.Hedin2.R1.3g237200",55,6.71761367396052,0.000111101024929065
"Vfaba.Hedin2.R1.3g141080",56,6.71066339933119,2.63391877410987e-62
"Vfaba.Hedin2.R1.5g158320",57,6.69177663042668,0.000155008496152966
"Vfaba.Hedin2.R1.4g166480",58,6.67625178488837,0.000151779618249368
"Vfaba.Hedin2.R1.6g083600",59,6.62878465725135,0.000185019645606517
"Vfaba.Hedin2.R1.1g223800",60,6.54546360511223,0.00029557510188246
"Vfaba.Hedin2.R1.4g099280",61,6.53386419215532,0.000251057706304601
"Vfaba.Hedin2.R1.1g068960",62,6.52007709825369,0.0001922136196565
"Vfaba.Hedin2.R1.6g164880",63,6.50607137245412,1.79695086724784e-06
"Vfaba.Hedin2.R1.6g080560",64,6.49975329158689,0.000506986995965853
"Vfaba.Hedin2.R1.4g019720",65,6.47964917219226,0.000198125258057698
"Vfaba.Hedin2.R1.6g052800",66,6.45953917313484,8.58267466747838e-14
"Vfaba.Hedin2.R1.4g186600",67,6.433044856281,0.000726102002354401
"Vfaba.Hedin2.R1.2g174040",68,6.42222371553374,0.000696231485089415
"Vfaba.Hedin2.R1.1g434560",69,6.41321178727612,0.000662074065185493
"Vfaba.Hedin2.R1.3g084000",70,6.3870819485882,7.25540787437415e-05
"Vfaba.Hedin2.R1.2g199960",71,6.37655734445278,2.91602581801108e-05
"Vfaba.Hedin2.R1.1g118840",72,6.35857827768137,1.79425195572682e-31
"Vfaba.Hedin2.R1.6g152920",73,6.33082222919516,0.000862846518849116
"Vfaba.Hedin2.R1.2g155880",74,6.32688222193929,9.44905087663632e-05
"Vfaba.Hedin2.R1.4g014320",75,6.30705780935657,9.86886342998938e-05
"Vfaba.Hedin2.R1.1g211000",76,6.30548679210256,0.000345835841080308
"Vfaba.Hedin2.R1.2g090080",77,6.30479605080422,0.000996156038347045
"Vfaba.Hedin2.R1.4g117320",78,6.27669764530209,0.00130045103126505
"Vfaba.Hedin2.R1.2g092560",79,6.274858857825,8.49409482638626e-23
"Vfaba.Hedin2.R1.2g237360",80,6.27029021528942,1.06237424757376e-22
"Vfaba.Hedin2.R1.2g101120",81,6.22932597615267,7.75551091812048e-44
"Vfaba.Hedin2.R1.3g140920",82,6.22115811843661,8.93217527688304e-18
"Vfaba.Hedin2.R1.4g166360",83,6.21683550405522,0.00183425984613694
"Vfaba.Hedin2.R1.3g130160",84,6.21588292694135,1.01766137549891e-08
"Vfaba.Hedin2.R1.1g473720",85,6.21128091431959,0.00189613921540935
"Vfaba.Hedin2.R1.4g140200",86,6.20128476201561,0.00196083840296067
"Vfaba.Hedin2.R1.2g166560",87,6.1814346658879,0.00210423420823817
"Vfaba.Hedin2.R1.6g175120",88,6.13727193160113,0.00190516129927399
"Vfaba.Hedin2.R1.4g124840",89,6.11998493629146,0.00118457910870946
"Vfaba.Hedin2.R1.3g114360",90,6.08405310537329,0.000125039546471687
"Vfaba.Hedin2.R1.3g118680",91,6.07544410242034,0.00307276053288844
"Vfaba.Hedin2.R1.2g105600",92,6.06873541498284,0.000247750894052186
"Vfaba.Hedin2.R1.4g166520",93,6.05546703410884,5.27907188255573e-05
"Vfaba.Hedin2.R1.3g068280",94,6.05191207203364,0.00148943673901683
"Vfaba.Hedin2.R1.5g036280",95,6.04652675334854,0.00363695131110052
"Vfaba.Hedin2.R1.1g464320",96,6.03946836785762,0.000113229446443267
"Vfaba.Hedin2.R1.4g233160",97,6.03724505068885,0.00235633229941344
"Vfaba.Hedin2.R1.2g051400",98,6.03103865677168,0.00332680005136871
"Vfaba.Hedin2.R1.1g425800",99,6.01024543646944,1.34069062761946e-05
"Vfaba.Hedin2.R1.4g204880",100,5.96419855058326,0.00284373571777228
"Vfaba.Hedin2.R1.4g166000",101,5.95366950751354,7.58100219954228e-56
"Vfaba.Hedin2.R1.4g166320",102,5.93845583778345,0.00541337122342422
"Vfaba.Hedin2.R1.1g170920",103,5.93028504806982,5.06325613707747e-30
"Vfaba.Hedin2.R1.6g108080",104,5.91483895944553,0.00351621398338659
"Vfaba.Hedin2.R1.1g063840",105,5.88754936768223,6.88855039490436e-07
"Vfaba.Hedin2.R1.3g231920",106,5.87715698960383,0.000425055851704924
"Vfaba.Hedin2.R1.3g111680",107,5.87594141799119,0.000694599314872496
"Vfaba.Hedin2.R1.5g145600",108,5.87029132581703,0.00278088703338422
"Vfaba.Hedin2.R1.6g069920",109,5.86850594055509,0.00535116599612456
"Vfaba.Hedin2.R1.1g251680",110,5.86014861847695,5.24317923848044e-25
"Vfaba.Hedin2.R1.1g099880",111,5.84693772905195,3.49813111363746e-53
"Vfaba.Hedin2.R1.5g165160",112,5.83561580410087,0.000802848746731376
"Vfaba.Hedin2.R1.6g156400",113,5.82582426496858,0.0025541861547322
"Vfaba.Hedin2.R1.2g160680",114,5.80050238601497,0.00637796778935174
"Vfaba.Hedin2.R1.1g174040",115,5.7647817010494,2.77650418151794e-10
"Vfaba.Hedin2.R1.1g179280",116,5.71662043096419,0.00746479989640678
"Vfaba.Hedin2.R1.2g016040",117,5.71629485542415,3.83644465052489e-17
"Vfaba.Hedin2.R1.3g104000",118,5.7156459534263,0.0103344933179158
"Vfaba.Hedin2.R1.2g001080",119,5.71547830567056,1.36763429077009e-06
"Vfaba.Hedin2.R1.5g067080",120,5.71261480533177,0.00854152931279081
"Vfaba.Hedin2.R1.1g282120",121,5.69996451696586,7.99733498720653e-12
"Vfaba.Hedin2.R1.5g092080",122,5.6944777474133,5.62245546257439e-31
"Vfaba.Hedin2.R1.2g024840",123,5.68099082996682,0.000972731818572043
"Vfaba.Hedin2.R1.3g100760",124,5.63359713763461,0.009160964324496
"Vfaba.Hedin2.R1.1g347960",125,5.62858341970494,0.0123921302774557
"Vfaba.Hedin2.R1.4g171000",126,5.61139816615724,0.0110963004411578
"Vfaba.Hedin2.R1.4g116360",127,5.60597698777645,0.0121563335636144
"Vfaba.Hedin2.R1.6g107200",128,5.60181681797099,0.0154918513906304
"Vfaba.Hedin2.R1.3g001120",129,5.59865319598709,1.7447540536895e-06
"Vfaba.Hedin2.R1.1g195360",130,5.58651387809716,0.0160557990399895
"Vfaba.Hedin2.R1.2g024800",131,5.53688752105182,1.41180325937782e-06
"Vfaba.Hedin2.R1.2g063320",132,5.52293665507129,8.89499250157801e-05
"Vfaba.Hedin2.R1.6g130080",133,5.51011996803848,0.000119793626272999
"Vfaba.Hedin2.R1.1g273000",134,5.49864708423164,0.00952255697295342
"Vfaba.Hedin2.R1.4g116960",135,5.47788719267998,0.00122452862019098
"Vfaba.Hedin2.R1.2g169440",136,5.46308431562596,0.0235205810311531
"Vfaba.Hedin2.R1.1g230680",137,5.45643773436573,3.24699215632222e-05
"Vfaba.Hedin2.R1.4g237640",138,5.45349255429662,0.00337027224673599
