GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3947)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
inositol catabolic process (GO:0019310)	7	7	.49	+	14.15	8.76E-09	6.88E-07
thiamine transport (GO:0015888)	4	4	.28	+	14.15	2.49E-05	8.68E-04
azole transmembrane transport (GO:0045117)	4	4	.28	+	14.15	2.49E-05	8.60E-04
thiamine transmembrane transport (GO:0071934)	4	4	.28	+	14.15	2.49E-05	8.52E-04
quaternary ammonium group transport (GO:0015697)	4	4	.28	+	14.15	2.49E-05	8.44E-04
proline catabolic process to glutamate (GO:0010133)	8	8	.57	+	14.15	6.18E-10	6.00E-08
thiamine pyrophosphate transmembrane transport (GO:0030974)	4	4	.28	+	14.15	2.49E-05	8.36E-04
single strand break repair (GO:0000012)	4	4	.28	+	14.15	2.49E-05	8.29E-04
vitamin transmembrane transport (GO:0035461)	4	4	.28	+	14.15	2.49E-05	8.21E-04
proline catabolic process (GO:0006562)	8	8	.57	+	14.15	6.18E-10	5.85E-08
negative regulation of cytokinin-activated signaling pathway (GO:0080037)	6	5	.42	+	11.79	9.93E-06	4.12E-04
regulation of cytokinin-activated signaling pathway (GO:0080036)	6	5	.42	+	11.79	9.93E-06	4.07E-04
lysine biosynthetic process via aminoadipic acid (GO:0019878)	5	4	.35	+	11.32	1.17E-04	3.08E-03
vitamin transport (GO:0051180)	6	4	.42	+	9.43	3.33E-04	7.06E-03
barbed-end actin filament capping (GO:0051016)	9	6	.64	+	9.43	8.65E-06	3.71E-04
asparagine biosynthetic process (GO:0006529)	8	5	.57	+	8.84	8.21E-05	2.33E-03
protein homooligomerization (GO:0051260)	8	5	.57	+	8.84	8.21E-05	2.31E-03
aspartate family amino acid catabolic process (GO:0009068)	7	4	.49	+	8.09	7.32E-04	1.34E-02
galactose catabolic process via UDP-galactose, Leloir pathway (GO:0033499)	11	6	.78	+	7.72	4.20E-05	1.30E-03
pyrimidine-containing compound transmembrane transport (GO:0072531)	13	7	.92	+	7.62	1.03E-05	4.17E-04
asparagine metabolic process (GO:0006528)	10	5	.71	+	7.08	3.28E-04	6.99E-03
vernalization response (GO:0010048)	8	4	.57	+	7.08	1.38E-03	2.21E-02
regulation of amino acid export (GO:0080143)	13	6	.92	+	6.53	1.38E-04	3.54E-03
regulation of amino acid transmembrane transport (GO:1903789)	13	6	.92	+	6.53	1.38E-04	3.51E-03
regulation of amino acid transport (GO:0051955)	13	6	.92	+	6.53	1.38E-04	3.49E-03
regulation of amine transport (GO:0051952)	13	6	.92	+	6.53	1.38E-04	3.46E-03
protein localization to phagophore assembly site (GO:0034497)	18	8	1.27	+	6.29	1.42E-05	5.35E-04
L-leucine catabolic process (GO:0006552)	9	4	.64	+	6.29	2.35E-03	3.02E-02
'de novo' CTP biosynthetic process (GO:0044210)	14	6	.99	+	6.06	2.27E-04	5.05E-03
polyol catabolic process (GO:0046174)	17	7	1.20	+	5.83	9.03E-05	2.53E-03
alcohol catabolic process (GO:0046164)	17	7	1.20	+	5.83	9.03E-05	2.51E-03
purine nucleoside catabolic process (GO:0006152)	17	7	1.20	+	5.83	9.03E-05	2.49E-03
lactone biosynthetic process (GO:1901336)	22	9	1.55	+	5.79	9.28E-06	3.94E-04
regulation of transmembrane transport (GO:0034762)	15	6	1.06	+	5.66	3.55E-04	7.37E-03
ribonucleoside catabolic process (GO:0042454)	10	4	.71	+	5.66	3.70E-03	4.29E-02
protein deneddylation (GO:0000338)	10	4	.71	+	5.66	3.70E-03	4.28E-02
maintenance of root meristem identity (GO:0010078)	10	4	.71	+	5.66	3.70E-03	4.27E-02
maintenance of meristem identity (GO:0010074)	10	4	.71	+	5.66	3.70E-03	4.25E-02
maintenance of shoot apical meristem identity (GO:0010492)	10	4	.71	+	5.66	3.70E-03	4.24E-02
nucleoside catabolic process (GO:0009164)	23	9	1.63	+	5.54	1.43E-05	5.33E-04
nucleobase-containing small molecule catabolic process (GO:0034656)	23	9	1.63	+	5.54	1.43E-05	5.27E-04
positive regulation of anaphase-promoting complex-dependent catabolic process (GO:1905786)	13	5	.92	+	5.44	1.40E-03	2.20E-02
regulation of anaphase-promoting complex-dependent catabolic process (GO:1905784)	13	5	.92	+	5.44	1.40E-03	2.19E-02
sesquiterpenoid metabolic process (GO:0006714)	16	6	1.13	+	5.31	5.35E-04	1.01E-02
regulation of salicylic acid biosynthetic process (GO:0080142)	19	7	1.34	+	5.21	2.06E-04	4.85E-03
regulation of salicylic acid metabolic process (GO:0010337)	19	7	1.34	+	5.21	2.06E-04	4.82E-03
L-ascorbic acid biosynthetic process (GO:0019853)	19	7	1.34	+	5.21	2.06E-04	4.79E-03
regulation of circadian rhythm (GO:0042752)	38	14	2.69	+	5.21	1.44E-07	9.51E-06
regulation of phenylpropanoid metabolic process (GO:2000762)	14	5	.99	+	5.05	2.05E-03	2.77E-02
pyruvate family amino acid catabolic process (GO:0009080)	17	6	1.20	+	4.99	7.77E-04	1.39E-02
terpenoid catabolic process (GO:0016115)	20	7	1.41	+	4.95	2.98E-04	6.44E-03
inositol metabolic process (GO:0006020)	20	7	1.41	+	4.95	2.98E-04	6.40E-03
lactone metabolic process (GO:1901334)	26	9	1.84	+	4.90	4.50E-05	1.38E-03
xyloglucan metabolic process (GO:0010411)	86	29	6.08	+	4.77	4.79E-13	7.37E-11
plant-type cell wall cellulose biosynthetic process (GO:0052324)	18	6	1.27	+	4.72	1.10E-03	1.85E-02
glutamine family amino acid catabolic process (GO:0009065)	30	10	2.12	+	4.72	2.47E-05	8.70E-04
glycosyl compound catabolic process (GO:1901658)	27	9	1.91	+	4.72	6.32E-05	1.85E-03
regulation of secondary metabolic process (GO:0043455)	15	5	1.06	+	4.72	2.89E-03	3.58E-02
plant-type cell wall cellulose metabolic process (GO:0052541)	18	6	1.27	+	4.72	1.10E-03	1.84E-02
cell wall beta-glucan biosynthetic process (GO:0034410)	18	6	1.27	+	4.72	1.10E-03	1.83E-02
cell wall beta-glucan metabolic process (GO:0034406)	18	6	1.27	+	4.72	1.10E-03	1.82E-02
glycophagy (GO:0061723)	18	6	1.27	+	4.72	1.10E-03	1.82E-02
trehalose biosynthetic process (GO:0005992)	43	14	3.04	+	4.61	8.35E-07	4.47E-05
branched-chain amino acid catabolic process (GO:0009083)	31	10	2.19	+	4.56	3.42E-05	1.09E-03
proline metabolic process (GO:0006560)	25	8	1.77	+	4.53	2.24E-04	5.01E-03
