GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3044)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
thiamine transport (GO:0015888)	4	4	.22	+	18.35	8.81E-06	2.48E-04
response to nutrient (GO:0007584)	2	2	.11	+	18.35	2.97E-03	3.60E-02
azole transmembrane transport (GO:0045117)	4	4	.22	+	18.35	8.81E-06	2.46E-04
glycolipid translocation (GO:0034203)	2	2	.11	+	18.35	2.97E-03	3.58E-02
glycolipid transport (GO:0046836)	2	2	.11	+	18.35	2.97E-03	3.57E-02
stem vascular tissue pattern formation (GO:0010222)	2	2	.11	+	18.35	2.97E-03	3.56E-02
thiamine transmembrane transport (GO:0071934)	4	4	.22	+	18.35	8.81E-06	2.45E-04
arbuscular mycorrhizal association (GO:0036377)	2	2	.11	+	18.35	2.97E-03	3.55E-02
quaternary ammonium group transport (GO:0015697)	4	4	.22	+	18.35	8.81E-06	2.43E-04
proline catabolic process to glutamate (GO:0010133)	8	8	.44	+	18.35	7.72E-11	8.91E-09
inositol catabolic process (GO:0019310)	7	7	.38	+	18.35	1.42E-09	1.19E-07
thiamine pyrophosphate transmembrane transport (GO:0030974)	4	4	.22	+	18.35	8.81E-06	2.41E-04
glycine biosynthetic process, by transamination of glyoxylate (GO:0019265)	2	2	.11	+	18.35	2.97E-03	3.54E-02
glycerophospholipid catabolic process (GO:0046475)	2	2	.11	+	18.35	2.97E-03	3.53E-02
phosphatidylserine biosynthetic process (GO:0006659)	2	2	.11	+	18.35	2.97E-03	3.51E-02
phosphatidylserine metabolic process (GO:0006658)	2	2	.11	+	18.35	2.97E-03	3.50E-02
fluoride transmembrane transport (GO:1903424)	2	2	.11	+	18.35	2.97E-03	3.49E-02
vitamin transmembrane transport (GO:0035461)	4	4	.22	+	18.35	8.81E-06	2.39E-04
proline catabolic process (GO:0006562)	8	8	.44	+	18.35	7.72E-11	8.64E-09
vitamin transport (GO:0051180)	6	4	.33	+	12.23	1.21E-04	2.49E-03
barbed-end actin filament capping (GO:0051016)	9	6	.49	+	12.23	1.90E-06	7.16E-05
ammonium homeostasis (GO:0097272)	5	3	.27	+	11.01	1.49E-03	2.08E-02
alanine catabolic process (GO:0006524)	8	4	.44	+	9.17	5.16E-04	8.55E-03
alanine metabolic process (GO:0006522)	8	4	.44	+	9.17	5.16E-04	8.51E-03
vernalization response (GO:0010048)	8	4	.44	+	9.17	5.16E-04	8.47E-03
L-alanine catabolic process (GO:0042853)	8	4	.44	+	9.17	5.16E-04	8.43E-03
L-alanine metabolic process (GO:0042851)	8	4	.44	+	9.17	5.16E-04	8.40E-03
regulation of salicylic acid biosynthetic process (GO:0080142)	19	9	1.04	+	8.69	2.35E-07	1.19E-05
