GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (605)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
polyketide biosynthetic process (GO:0030639)	21	14	.23	+	61.55	2.86E-23	3.52E-20
polyketide metabolic process (GO:0030638)	21	14	.23	+	61.55	2.86E-23	2.64E-20
purine ribonucleoside catabolic process (GO:0046130)	4	2	.04	+	46.16	6.93E-04	3.50E-02
inosine biosynthetic process (GO:0046103)	4	2	.04	+	46.16	6.93E-04	3.46E-02
inosine metabolic process (GO:0046102)	4	2	.04	+	46.16	6.93E-04	3.41E-02
adenosine metabolic process (GO:0046085)	4	2	.04	+	46.16	6.93E-04	3.37E-02
adenosine catabolic process (GO:0006154)	4	2	.04	+	46.16	6.93E-04	3.32E-02
sphingoid catabolic process (GO:0046521)	4	2	.04	+	46.16	6.93E-04	3.28E-02
regulation of seed maturation (GO:2000034)	5	2	.05	+	36.93	1.15E-03	4.60E-02
regulation of seed dormancy process (GO:2000033)	5	2	.05	+	36.93	1.15E-03	4.55E-02
regulation of seed development (GO:0080050)	5	2	.05	+	36.93	1.15E-03	4.50E-02
negative regulation of seed germination (GO:0010187)	5	2	.05	+	36.93	1.15E-03	4.46E-02
maintenance of root meristem identity (GO:0010078)	10	4	.11	+	36.93	2.72E-06	6.69E-04
maintenance of meristem identity (GO:0010074)	10	4	.11	+	36.93	2.72E-06	6.27E-04
negative regulation of gibberellic acid mediated signaling pathway (GO:0009938)	5	2	.05	+	36.93	1.15E-03	4.41E-02
maintenance of shoot apical meristem identity (GO:0010492)	10	4	.11	+	36.93	2.72E-06	5.90E-04
stem cell population maintenance (GO:0019827)	11	4	.12	+	33.57	4.23E-06	7.11E-04
maintenance of cell number (GO:0098727)	11	4	.12	+	33.57	4.23E-06	6.80E-04
flavonoid biosynthetic process (GO:0009813)	57	20	.62	+	32.39	3.02E-25	1.11E-21
flavonoid metabolic process (GO:0009812)	57	20	.62	+	32.39	3.02E-25	5.57E-22
molybdate ion transport (GO:0015689)	12	4	.13	+	30.77	6.30E-06	9.69E-04
embryonic meristem initiation (GO:0090421)	14	4	.15	+	26.38	1.25E-05	1.71E-03
root meristem specification (GO:0010071)	14	4	.15	+	26.38	1.25E-05	1.65E-03
meristem initiation (GO:0010014)	14	4	.15	+	26.38	1.25E-05	1.59E-03
meristem structural organization (GO:0009933)	16	4	.17	+	23.08	2.24E-05	2.66E-03
anatomical structure arrangement (GO:0048532)	16	4	.17	+	23.08	2.24E-05	2.58E-03
toxin catabolic process (GO:0009407)	12	3	.13	+	23.08	2.59E-04	1.62E-02
toxin metabolic process (GO:0009404)	12	3	.13	+	23.08	2.59E-04	1.59E-02
embryonic meristem development (GO:0048508)	18	4	.19	+	20.52	3.70E-05	3.90E-03
lignin biosynthetic process (GO:0009809)	20	4	.22	+	18.46	5.75E-05	4.94E-03
polyprenol biosynthetic process (GO:0016094)	15	3	.16	+	18.46	5.22E-04	2.84E-02
meristem maintenance (GO:0010073)	40	8	.43	+	18.46	1.03E-08	5.41E-06
polyprenol metabolic process (GO:0016093)	17	3	.18	+	16.29	7.68E-04	3.54E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	17	3	.18	+	16.29	7.68E-04	3.50E-02
cellular response to superoxide (GO:0071451)	19	3	.21	+	14.58	1.08E-03	4.68E-02
cellular response to oxygen radical (GO:0071450)	19	3	.21	+	14.58	1.08E-03	4.62E-02
removal of superoxide radicals (GO:0019430)	19	3	.21	+	14.58	1.08E-03	4.57E-02
response to oxygen radical (GO:0000305)	19	3	.21	+	14.58	1.08E-03	4.52E-02
response to superoxide (GO:0000303)	19	3	.21	+	14.58	1.08E-03	4.47E-02
superoxide metabolic process (GO:0006801)	19	3	.21	+	14.58	1.08E-03	4.42E-02
triglyceride biosynthetic process (GO:0019432)	32	5	.35	+	14.42	2.32E-05	2.60E-03
negative regulation of DNA recombination (GO:0045910)	26	4	.28	+	14.20	1.69E-04	1.13E-02
meristem development (GO:0048507)	52	8	.56	+	14.20	8.96E-08	3.68E-05
regulation of DNA recombination (GO:0000018)	28	4	.30	+	13.19	2.27E-04	1.45E-02
secondary metabolite biosynthetic process (GO:0044550)	158	22	1.71	+	12.85	4.56E-18	3.36E-15
acylglycerol biosynthetic process (GO:0046463)	36	5	.39	+	12.82	4.19E-05	3.87E-03
neutral lipid biosynthetic process (GO:0046460)	36	5	.39	+	12.82	4.19E-05	3.77E-03
root morphogenesis (GO:0010015)	29	4	.31	+	12.73	2.61E-04	1.56E-02
