GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3973)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of salicylic acid mediated signaling pathway (GO:0080151)	2	2	.14	+	14.06	5.06E-03	4.31E-02
cellular response to high light intensity (GO:0071486)	2	2	.14	+	14.06	5.06E-03	4.30E-02
cellular response to light intensity (GO:0071484)	2	2	.14	+	14.06	5.06E-03	4.29E-02
mitochondrial tRNA modification (GO:0070900)	2	2	.14	+	14.06	5.06E-03	4.28E-02
regulation of stomatal complex development (GO:2000038)	2	2	.14	+	14.06	5.06E-03	4.28E-02
box H/ACA snoRNP assembly (GO:0000493)	2	2	.14	+	14.06	5.06E-03	4.27E-02
actin crosslink formation (GO:0051764)	2	2	.14	+	14.06	5.06E-03	4.26E-02
snoRNA guided rRNA pseudouridine synthesis (GO:0000454)	2	2	.14	+	14.06	5.06E-03	4.25E-02
siroheme metabolic process (GO:0046156)	2	2	.14	+	14.06	5.06E-03	4.24E-02
etioplast organization (GO:0009662)	2	2	.14	+	14.06	5.06E-03	4.23E-02
double-strand break repair via single-strand annealing (GO:0045002)	2	2	.14	+	14.06	5.06E-03	4.22E-02
regulation of mitochondrial mRNA stability (GO:0044528)	2	2	.14	+	14.06	5.06E-03	4.21E-02
syncytium formation (GO:0006949)	4	4	.28	+	14.06	2.56E-05	4.92E-04
dUTP catabolic process (GO:0046081)	2	2	.14	+	14.06	5.06E-03	4.20E-02
dUTP metabolic process (GO:0046080)	2	2	.14	+	14.06	5.06E-03	4.19E-02
dUMP metabolic process (GO:0046078)	2	2	.14	+	14.06	5.06E-03	4.18E-02
siroheme biosynthetic process (GO:0019354)	2	2	.14	+	14.06	5.06E-03	4.17E-02
DNA double-strand break processing involved in repair via single-strand annealing (GO:0010792)	2	2	.14	+	14.06	5.06E-03	4.16E-02
dUMP biosynthetic process (GO:0006226)	2	2	.14	+	14.06	5.06E-03	4.15E-02
nucleoid organization (GO:0090143)	4	4	.28	+	14.06	2.56E-05	4.89E-04
para-aminobenzoic acid metabolic process (GO:0046482)	2	2	.14	+	14.06	5.06E-03	4.14E-02
glucose catabolic process (GO:0006007)	2	2	.14	+	14.06	5.06E-03	4.13E-02
leaf morphogenesis (GO:0009965)	2	2	.14	+	14.06	5.06E-03	4.12E-02
mitochondrial tRNA 3'-end processing (GO:1990180)	2	2	.14	+	14.06	5.06E-03	4.11E-02
chlororespiration (GO:0010478)	2	2	.14	+	14.06	5.06E-03	4.11E-02
mitochondrial tRNA processing (GO:0090646)	4	4	.28	+	14.06	2.56E-05	4.87E-04
oxidation-dependent protein catabolic process (GO:0070407)	2	2	.14	+	14.06	5.06E-03	4.10E-02
4-aminobenzoate biosynthetic process (GO:0008153)	2	2	.14	+	14.06	5.06E-03	4.09E-02
positive regulation of stomatal complex development (GO:2000123)	2	2	.14	+	14.06	5.06E-03	4.08E-02
L-alanine transport (GO:0015808)	5	5	.36	+	14.06	1.82E-06	5.24E-05
cell-cell adhesion (GO:0098609)	3	3	.21	+	14.06	3.60E-04	4.99E-03
biological process involved in intraspecies interaction between organisms (GO:0051703)	3	3	.21	+	14.06	3.60E-04	4.97E-03
miRNA transport (GO:1990428)	6	6	.43	+	14.06	1.29E-07	5.61E-06
fumarate metabolic process (GO:0006106)	3	3	.21	+	14.06	3.60E-04	4.96E-03
alanine transport (GO:0032328)	5	5	.36	+	14.06	1.82E-06	5.20E-05
pollen tube adhesion (GO:0009865)	3	3	.21	+	14.06	3.60E-04	4.94E-03
2-oxoglutarate metabolic process (GO:0006103)	7	6	.50	+	12.05	8.49E-07	2.75E-05
cell cycle DNA replication initiation (GO:1902292)	10	8	.71	+	11.25	2.57E-08	1.42E-06
nuclear cell cycle DNA replication initiation (GO:1902315)	10	8	.71	+	11.25	2.57E-08	1.40E-06
mitotic DNA replication initiation (GO:1902975)	10	8	.71	+	11.25	2.57E-08	1.38E-06
regulation of cellular response to heat (GO:1900034)	4	3	.28	+	10.54	1.36E-03	1.54E-02
regulation of DNA-templated DNA replication initiation (GO:0030174)	7	5	.50	+	10.04	3.38E-05	6.30E-04
double-strand break repair via break-induced replication (GO:0000727)	21	15	1.49	+	10.04	2.12E-13	4.12E-11
response to monosaccharide (GO:0034284)	6	4	.43	+	9.37	3.41E-04	4.81E-03
response to glucose (GO:0009749)	6	4	.43	+	9.37	3.41E-04	4.79E-03
response to hexose (GO:0009746)	6	4	.43	+	9.37	3.41E-04	4.77E-03
L-lysine transport (GO:1902022)	12	8	.85	+	9.37	2.48E-07	1.01E-05
glutaminyl-tRNAGln biosynthesis via transamidation (GO:0070681)	6	4	.43	+	9.37	3.41E-04	4.75E-03
plastid transcription (GO:0042793)	12	8	.85	+	9.37	2.48E-07	9.97E-06
L-lysine transmembrane transport (GO:1903401)	12	8	.85	+	9.37	2.48E-07	9.87E-06
polyketide biosynthetic process (GO:0030639)	21	14	1.49	+	9.37	5.99E-12	7.63E-10
polyketide metabolic process (GO:0030638)	21	14	1.49	+	9.37	5.99E-12	7.37E-10
DNA replication preinitiation complex assembly (GO:0071163)	8	5	.57	+	8.79	8.48E-05	1.42E-03
phytochelatin biosynthetic process (GO:0046938)	5	3	.36	+	8.43	3.22E-03	3.05E-02
phytochelatin metabolic process (GO:0046937)	5	3	.36	+	8.43	3.22E-03	3.04E-02
response to far red light (GO:0010218)	5	3	.36	+	8.43	3.22E-03	3.03E-02
mitochondrial translational elongation (GO:0070125)	15	9	1.07	+	8.43	1.56E-07	6.54E-06
L-leucine biosynthetic process (GO:0009098)	17	10	1.21	+	8.27	4.01E-08	1.97E-06
nitric oxide metabolic process (GO:0046209)	7	4	.50	+	8.03	7.51E-04	9.31E-03
nitric oxide biosynthetic process (GO:0006809)	7	4	.50	+	8.03	7.51E-04	9.28E-03
ribulose bisphosphate carboxylase complex assembly (GO:0110102)	7	4	.50	+	8.03	7.51E-04	9.25E-03
tRNA 3'-end processing (GO:0042780)	11	6	.78	+	7.67	4.36E-05	7.74E-04
L-glutamate transmembrane transport (GO:0015813)	15	8	1.07	+	7.50	2.66E-06	7.33E-05
L-glutamate import (GO:0051938)	15	8	1.07	+	7.50	2.66E-06	7.27E-05
tRNA 3'-terminal CCA addition (GO:0001680)	8	4	.57	+	7.03	1.42E-03	1.60E-02
homoserine biosynthetic process (GO:0009090)	8	4	.57	+	7.03	1.42E-03	1.60E-02
malonyl-CoA biosynthetic process (GO:2001295)	8	4	.57	+	7.03	1.42E-03	1.59E-02
pyruvate family amino acid biosynthetic process (GO:0009079)	30	15	2.13	+	7.03	3.27E-10	3.09E-08
lysine biosynthetic process via diaminopimelate (GO:0009089)	24	12	1.71	+	7.03	1.99E-08	1.22E-06
endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)	6	3	.43	+	7.03	6.11E-03	4.61E-02
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)	6	3	.43	+	7.03	6.11E-03	4.60E-02
diaminopimelate metabolic process (GO:0046451)	24	12	1.71	+	7.03	1.99E-08	1.20E-06
mitotic DNA replication (GO:1902969)	20	10	1.42	+	7.03	3.12E-07	1.16E-05
branched-chain amino acid biosynthetic process (GO:0009082)	42	20	2.99	+	6.69	1.17E-12	1.72E-10
nuclear DNA replication (GO:0033260)	32	15	2.28	+	6.59	1.04E-09	8.92E-08
threonine biosynthetic process (GO:0009088)	15	7	1.07	+	6.56	3.54E-05	6.53E-04
polyprenol biosynthetic process (GO:0016094)	15	7	1.07	+	6.56	3.54E-05	6.50E-04
cinnamic acid metabolic process (GO:0009803)	9	4	.64	+	6.25	2.41E-03	2.44E-02
cinnamic acid biosynthetic process (GO:0009800)	9	4	.64	+	6.25	2.41E-03	2.43E-02
migration in host (GO:0044001)	9	4	.64	+	6.25	2.41E-03	2.42E-02
mitochondrial phosphate ion transmembrane transport (GO:1990547)	9	4	.64	+	6.25	2.41E-03	2.42E-02
biological process involved in interaction with host (GO:0051701)	9	4	.64	+	6.25	2.41E-03	2.41E-02
transport of virus (GO:0046794)	9	4	.64	+	6.25	2.41E-03	2.40E-02
transport of virus in multicellular host (GO:0046739)	9	4	.64	+	6.25	2.41E-03	2.40E-02
viral process (GO:0016032)	9	4	.64	+	6.25	2.41E-03	2.39E-02
mitochondrial RNA modification (GO:1900864)	33	14	2.35	+	5.96	1.86E-08	1.16E-06
chloroplast RNA processing (GO:0031425)	12	5	.85	+	5.86	9.41E-04	1.12E-02
plastid fission (GO:0043572)	29	12	2.06	+	5.82	2.72E-07	1.06E-05
