GO biological process complete	Glycine max - REFLIST (55853)	upload_1 (3263)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of salicylic acid mediated signaling pathway (GO:0080151)	2	2	.12	+	17.12	3.41E-03	3.68E-02
cell-cell adhesion (GO:0098609)	3	3	.18	+	17.12	1.99E-04	3.75E-03
mitochondrial tRNA modification (GO:0070900)	2	2	.12	+	17.12	3.41E-03	3.67E-02
regulation of stomatal complex development (GO:2000038)	2	2	.12	+	17.12	3.41E-03	3.66E-02
actin crosslink formation (GO:0051764)	2	2	.12	+	17.12	3.41E-03	3.65E-02
RNA polymerase III preinitiation complex assembly (GO:0070898)	4	4	.23	+	17.12	1.16E-05	3.77E-04
biological process involved in intraspecies interaction between organisms (GO:0051703)	3	3	.18	+	17.12	1.99E-04	3.73E-03
etioplast organization (GO:0009662)	2	2	.12	+	17.12	3.41E-03	3.64E-02
regulation of mitochondrial mRNA stability (GO:0044528)	2	2	.12	+	17.12	3.41E-03	3.63E-02
syncytium formation (GO:0006949)	4	4	.23	+	17.12	1.16E-05	3.73E-04
miRNA transport (GO:1990428)	6	6	.35	+	17.12	3.96E-08	2.56E-06
regulation of mitotic cell cycle spindle assembly checkpoint (GO:0090266)	2	2	.12	+	17.12	3.41E-03	3.62E-02
regulation of spindle checkpoint (GO:0090231)	2	2	.12	+	17.12	3.41E-03	3.61E-02
regulation of mitotic spindle checkpoint (GO:1903504)	2	2	.12	+	17.12	3.41E-03	3.60E-02
leaf morphogenesis (GO:0009965)	2	2	.12	+	17.12	3.41E-03	3.59E-02
chlororespiration (GO:0010478)	2	2	.12	+	17.12	3.41E-03	3.58E-02
pollen tube adhesion (GO:0009865)	3	3	.18	+	17.12	1.99E-04	3.72E-03
positive regulation of stomatal complex development (GO:2000123)	2	2	.12	+	17.12	3.41E-03	3.57E-02
2-oxoglutarate metabolic process (GO:0006103)	7	6	.41	+	14.67	2.63E-07	1.31E-05
regulation of cellular response to heat (GO:1900034)	4	3	.23	+	12.84	7.62E-04	1.14E-02
RNA stabilization (GO:0043489)	7	5	.41	+	12.23	1.29E-05	4.07E-04
regulation of DNA-templated DNA replication initiation (GO:0030174)	7	5	.41	+	12.23	1.29E-05	4.04E-04
cell cycle DNA replication initiation (GO:1902292)	10	7	.58	+	11.98	2.37E-07	1.31E-05
nuclear cell cycle DNA replication initiation (GO:1902315)	10	7	.58	+	11.98	2.37E-07	1.29E-05
mitotic DNA replication initiation (GO:1902975)	10	7	.58	+	11.98	2.37E-07	1.27E-05
response to monosaccharide (GO:0034284)	6	4	.35	+	11.41	1.59E-04	3.15E-03
response to glucose (GO:0009749)	6	4	.35	+	11.41	1.59E-04	3.13E-03
response to hexose (GO:0009746)	6	4	.35	+	11.41	1.59E-04	3.11E-03
glutaminyl-tRNAGln biosynthesis via transamidation (GO:0070681)	6	4	.35	+	11.41	1.59E-04	3.10E-03
DNA replication preinitiation complex assembly (GO:0071163)	8	5	.47	+	10.70	3.27E-05	8.89E-04
double-strand break repair via break-induced replication (GO:0000727)	21	13	1.23	+	10.60	1.18E-11	1.67E-09
phytochelatin biosynthetic process (GO:0046938)	5	3	.29	+	10.27	1.82E-03	2.42E-02
phytochelatin metabolic process (GO:0046937)	5	3	.29	+	10.27	1.82E-03	2.41E-02
L-leucine biosynthetic process (GO:0009098)	17	10	.99	+	10.07	6.08E-09	4.68E-07
plastid transcription (GO:0042793)	12	7	.70	+	9.98	1.41E-06	5.53E-05
detection of mechanical stimulus (GO:0050982)	7	4	.41	+	9.78	3.53E-04	5.74E-03
polyketide biosynthetic process (GO:0030639)	21	12	1.23	+	9.78	2.77E-10	2.56E-08
polyketide metabolic process (GO:0030638)	21	12	1.23	+	9.78	2.77E-10	2.50E-08
ribulose bisphosphate carboxylase complex assembly (GO:0110102)	7	4	.41	+	9.78	3.53E-04	5.71E-03
negative regulation of RNA catabolic process (GO:1902369)	9	5	.53	+	9.51	7.01E-05	1.55E-03
endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000480)	6	3	.35	+	8.56	3.49E-03	3.64E-02
endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000472)	6	3	.35	+	8.56	3.49E-03	3.63E-02
L-serine biosynthetic process (GO:0006564)	10	5	.58	+	8.56	1.33E-04	2.72E-03
polyprenol biosynthetic process (GO:0016094)	15	7	.88	+	7.99	9.78E-06	3.20E-04
mitotic DNA replication (GO:1902969)	20	9	1.17	+	7.70	7.30E-07	3.37E-05
migration in host (GO:0044001)	9	4	.53	+	7.61	1.15E-03	1.63E-02
