Gene stable ID,Transcript stable ID,Glycine max gene stable ID
Vfaba.Hedin2.R1.1g000160,Vfaba.Hedin2.R1.1g000160.1,GLYMA_18G272000
Vfaba.Hedin2.R1.1g000160,Vfaba.Hedin2.R1.1g000160.1,GLYMA_08G249700
Vfaba.Hedin2.R1.1g000160,Vfaba.Hedin2.R1.1g000160.1,GLYMA_18G271900
Vfaba.Hedin2.R1.1g000320,Vfaba.Hedin2.R1.1g000320.1,GLYMA_18G302000
Vfaba.Hedin2.R1.1g001760,Vfaba.Hedin2.R1.1g001760.1,GLYMA_08G361300
Vfaba.Hedin2.R1.1g001760,Vfaba.Hedin2.R1.1g001760.1,GLYMA_18G300400
Vfaba.Hedin2.R1.1g004000,Vfaba.Hedin2.R1.1g004000.1,GLYMA_08G365100
Vfaba.Hedin2.R1.1g004000,Vfaba.Hedin2.R1.1g004000.1,GLYMA_18G297100
Vfaba.Hedin2.R1.1g004640,Vfaba.Hedin2.R1.1g004640.1,GLYMA_08G365900
Vfaba.Hedin2.R1.1g004640,Vfaba.Hedin2.R1.1g004640.1,GLYMA_18G296300
Vfaba.Hedin2.R1.1g005200,Vfaba.Hedin2.R1.1g005200.1,GLYMA_12G237300
Vfaba.Hedin2.R1.1g005200,Vfaba.Hedin2.R1.1g005200.1,GLYMA_13G202800
Vfaba.Hedin2.R1.1g005440,Vfaba.Hedin2.R1.1g005440.1,GLYMA_12G123900
Vfaba.Hedin2.R1.1g005440,Vfaba.Hedin2.R1.1g005440.1,GLYMA_18G253200
Vfaba.Hedin2.R1.1g005440,Vfaba.Hedin2.R1.1g005440.1,GLYMA_20G039100
Vfaba.Hedin2.R1.1g007280,Vfaba.Hedin2.R1.1g007280.1,GLYMA_18G256400
Vfaba.Hedin2.R1.1g007280,Vfaba.Hedin2.R1.1g007280.1,GLYMA_09G240100
Vfaba.Hedin2.R1.1g007560,Vfaba.Hedin2.R1.1g007560.1,GLYMA_18G257700
Vfaba.Hedin2.R1.1g007560,Vfaba.Hedin2.R1.1g007560.1,GLYMA_09G239800
Vfaba.Hedin2.R1.1g007880,Vfaba.Hedin2.R1.1g007880.1,GLYMA_18G258500
Vfaba.Hedin2.R1.1g007880,Vfaba.Hedin2.R1.1g007880.1,GLYMA_09G239300
Vfaba.Hedin2.R1.1g008120,Vfaba.Hedin2.R1.1g008120.1,GLYMA_18G259000
Vfaba.Hedin2.R1.1g008120,Vfaba.Hedin2.R1.1g008120.1,GLYMA_09G238900
Vfaba.Hedin2.R1.1g008240,Vfaba.Hedin2.R1.1g008240.1,GLYMA_09G238800
Vfaba.Hedin2.R1.1g008240,Vfaba.Hedin2.R1.1g008240.1,GLYMA_18G259100
Vfaba.Hedin2.R1.1g008880,Vfaba.Hedin2.R1.1g008880.1,GLYMA_09G238100
Vfaba.Hedin2.R1.1g008880,Vfaba.Hedin2.R1.1g008880.1,GLYMA_18G097700
Vfaba.Hedin2.R1.1g008880,Vfaba.Hedin2.R1.1g008880.1,GLYMA_18G259600
Vfaba.Hedin2.R1.1g008880,Vfaba.Hedin2.R1.1g008880.1,GLYMA_09G238000
Vfaba.Hedin2.R1.1g008880,Vfaba.Hedin2.R1.1g008880.1,GLYMA_09G257300
Vfaba.Hedin2.R1.1g008880,Vfaba.Hedin2.R1.1g008880.1,GLYMA_01G110700
Vfaba.Hedin2.R1.1g010040,Vfaba.Hedin2.R1.1g010040.1,
Vfaba.Hedin2.R1.1g010640,Vfaba.Hedin2.R1.1g010640.1,GLYMA_09G234700
Vfaba.Hedin2.R1.1g011200,Vfaba.Hedin2.R1.1g011200.1,GLYMA_08G241300
Vfaba.Hedin2.R1.1g012000,Vfaba.Hedin2.R1.1g012000.1,GLYMA_08G242000
Vfaba.Hedin2.R1.1g012000,Vfaba.Hedin2.R1.1g012000.1,GLYMA_18G264200
Vfaba.Hedin2.R1.1g013160,Vfaba.Hedin2.R1.1g013160.1,GLYMA_18G266000
Vfaba.Hedin2.R1.1g013160,Vfaba.Hedin2.R1.1g013160.1,GLYMA_08G244500
Vfaba.Hedin2.R1.1g013160,Vfaba.Hedin2.R1.1g013160.1,GLYMA_18G265900
Vfaba.Hedin2.R1.1g013160,Vfaba.Hedin2.R1.1g013160.1,GLYMA_08G244600
Vfaba.Hedin2.R1.1g013160,Vfaba.Hedin2.R1.1g013160.1,GLYMA_18G265800
Vfaba.Hedin2.R1.1g013760,Vfaba.Hedin2.R1.1g013760.1,GLYMA_08G245600
Vfaba.Hedin2.R1.1g013760,Vfaba.Hedin2.R1.1g013760.1,GLYMA_08G245700
Vfaba.Hedin2.R1.1g013760,Vfaba.Hedin2.R1.1g013760.1,GLYMA_18G267100
Vfaba.Hedin2.R1.1g013760,Vfaba.Hedin2.R1.1g013760.1,GLYMA_08G246300
Vfaba.Hedin2.R1.1g013760,Vfaba.Hedin2.R1.1g013760.1,GLYMA_18G266900
Vfaba.Hedin2.R1.1g013760,Vfaba.Hedin2.R1.1g013760.1,GLYMA_08G246000
Vfaba.Hedin2.R1.1g013880,Vfaba.Hedin2.R1.1g013880.1,GLYMA_08G246400
Vfaba.Hedin2.R1.1g013880,Vfaba.Hedin2.R1.1g013880.1,GLYMA_18G267200
Vfaba.Hedin2.R1.1g015560,Vfaba.Hedin2.R1.1g015560.1,GLYMA_13G370000
Vfaba.Hedin2.R1.1g015560,Vfaba.Hedin2.R1.1g015560.1,GLYMA_15G003400
Vfaba.Hedin2.R1.1g015920,Vfaba.Hedin2.R1.1g015920.1,GLYMA_18G274000
Vfaba.Hedin2.R1.1g015920,Vfaba.Hedin2.R1.1g015920.1,GLYMA_08G251300
Vfaba.Hedin2.R1.1g016080,Vfaba.Hedin2.R1.1g016080.1,GLYMA_18G274200
Vfaba.Hedin2.R1.1g016080,Vfaba.Hedin2.R1.1g016080.1,GLYMA_08G251500
Vfaba.Hedin2.R1.1g016440,Vfaba.Hedin2.R1.1g016440.1,GLYMA_18G275600
