Gene stable ID,Transcript stable ID,Glycine max gene stable ID
Vfaba.Hedin2.R1.1g000120,Vfaba.Hedin2.R1.1g000120.1,GLYMA_08G249800
Vfaba.Hedin2.R1.1g000120,Vfaba.Hedin2.R1.1g000120.1,GLYMA_18G272100
Vfaba.Hedin2.R1.1g000160,Vfaba.Hedin2.R1.1g000160.1,GLYMA_18G272000
Vfaba.Hedin2.R1.1g000160,Vfaba.Hedin2.R1.1g000160.1,GLYMA_08G249700
Vfaba.Hedin2.R1.1g000160,Vfaba.Hedin2.R1.1g000160.1,GLYMA_18G271900
Vfaba.Hedin2.R1.1g000640,Vfaba.Hedin2.R1.1g000640.1,
Vfaba.Hedin2.R1.1g004640,Vfaba.Hedin2.R1.1g004640.1,GLYMA_08G365900
Vfaba.Hedin2.R1.1g004640,Vfaba.Hedin2.R1.1g004640.1,GLYMA_18G296300
Vfaba.Hedin2.R1.1g004880,Vfaba.Hedin2.R1.1g004880.1,GLYMA_09G242500
Vfaba.Hedin2.R1.1g004880,Vfaba.Hedin2.R1.1g004880.1,GLYMA_18G252500
Vfaba.Hedin2.R1.1g004920,Vfaba.Hedin2.R1.1g004920.1,GLYMA_10G164300
Vfaba.Hedin2.R1.1g004920,Vfaba.Hedin2.R1.1g004920.1,GLYMA_20G226700
Vfaba.Hedin2.R1.1g006680,Vfaba.Hedin2.R1.1g006680.1,GLYMA_09G145600
Vfaba.Hedin2.R1.1g006680,Vfaba.Hedin2.R1.1g006680.1,GLYMA_17G204600
Vfaba.Hedin2.R1.1g006840,Vfaba.Hedin2.R1.1g006840.1,GLYMA_09G145600
Vfaba.Hedin2.R1.1g006840,Vfaba.Hedin2.R1.1g006840.1,GLYMA_17G204600
Vfaba.Hedin2.R1.1g007280,Vfaba.Hedin2.R1.1g007280.1,GLYMA_18G256400
Vfaba.Hedin2.R1.1g007280,Vfaba.Hedin2.R1.1g007280.1,GLYMA_09G240100
Vfaba.Hedin2.R1.1g007440,Vfaba.Hedin2.R1.1g007440.1,GLYMA_09G145600
Vfaba.Hedin2.R1.1g007440,Vfaba.Hedin2.R1.1g007440.1,GLYMA_17G204600
Vfaba.Hedin2.R1.1g007880,Vfaba.Hedin2.R1.1g007880.1,GLYMA_18G258500
Vfaba.Hedin2.R1.1g007880,Vfaba.Hedin2.R1.1g007880.1,GLYMA_09G239300
Vfaba.Hedin2.R1.1g008120,Vfaba.Hedin2.R1.1g008120.1,GLYMA_18G259000
Vfaba.Hedin2.R1.1g008120,Vfaba.Hedin2.R1.1g008120.1,GLYMA_09G238900
Vfaba.Hedin2.R1.1g008880,Vfaba.Hedin2.R1.1g008880.1,GLYMA_09G238100
Vfaba.Hedin2.R1.1g008880,Vfaba.Hedin2.R1.1g008880.1,GLYMA_18G097700
Vfaba.Hedin2.R1.1g008880,Vfaba.Hedin2.R1.1g008880.1,GLYMA_18G259600
Vfaba.Hedin2.R1.1g008880,Vfaba.Hedin2.R1.1g008880.1,GLYMA_09G238000
