Gene stable ID,Transcript stable ID,Glycine max gene stable ID
Vfaba.Hedin2.R1.1g000240,Vfaba.Hedin2.R1.1g000240.1,GLYMA_18G302100
Vfaba.Hedin2.R1.1g001520,Vfaba.Hedin2.R1.1g001520.1,
Vfaba.Hedin2.R1.1g001840,Vfaba.Hedin2.R1.1g001840.1,GLYMA_18G300200
Vfaba.Hedin2.R1.1g001840,Vfaba.Hedin2.R1.1g001840.1,GLYMA_08G361500
Vfaba.Hedin2.R1.1g004280,Vfaba.Hedin2.R1.1g004280.2,GLYMA_18G296900
Vfaba.Hedin2.R1.1g004280,Vfaba.Hedin2.R1.1g004280.1,GLYMA_18G296900
Vfaba.Hedin2.R1.1g004360,Vfaba.Hedin2.R1.1g004360.1,GLYMA_19G047400
Vfaba.Hedin2.R1.1g004360,Vfaba.Hedin2.R1.1g004360.1,GLYMA_13G046000
Vfaba.Hedin2.R1.1g004440,Vfaba.Hedin2.R1.1g004440.1,GLYMA_08G365700
Vfaba.Hedin2.R1.1g004440,Vfaba.Hedin2.R1.1g004440.1,GLYMA_18G296600
Vfaba.Hedin2.R1.1g008800,Vfaba.Hedin2.R1.1g008800.1,
Vfaba.Hedin2.R1.1g008840,Vfaba.Hedin2.R1.1g008840.1,GLYMA_18G259500
Vfaba.Hedin2.R1.1g008840,Vfaba.Hedin2.R1.1g008840.1,GLYMA_09G238200
Vfaba.Hedin2.R1.1g009560,Vfaba.Hedin2.R1.1g009560.1,
Vfaba.Hedin2.R1.1g009680,Vfaba.Hedin2.R1.1g009680.1,GLYMA_18G260900
Vfaba.Hedin2.R1.1g009680,Vfaba.Hedin2.R1.1g009680.1,GLYMA_09G236200
Vfaba.Hedin2.R1.1g010120,Vfaba.Hedin2.R1.1g010120.1,GLYMA_18G261600
Vfaba.Hedin2.R1.1g010120,Vfaba.Hedin2.R1.1g010120.1,GLYMA_09G235400
Vfaba.Hedin2.R1.1g010480,Vfaba.Hedin2.R1.1g010480.1,GLYMA_09G235200
Vfaba.Hedin2.R1.1g010480,Vfaba.Hedin2.R1.1g010480.1,GLYMA_18G261900
Vfaba.Hedin2.R1.1g012360,Vfaba.Hedin2.R1.1g012360.1,
Vfaba.Hedin2.R1.1g012680,Vfaba.Hedin2.R1.1g012680.1,GLYMA_18G265300
Vfaba.Hedin2.R1.1g013960,Vfaba.Hedin2.R1.1g013960.1,GLYMA_18G269600
Vfaba.Hedin2.R1.1g013960,Vfaba.Hedin2.R1.1g013960.1,GLYMA_18G267500
Vfaba.Hedin2.R1.1g013960,Vfaba.Hedin2.R1.1g013960.1,GLYMA_08G246900
Vfaba.Hedin2.R1.1g013960,Vfaba.Hedin2.R1.1g013960.1,GLYMA_08G247000
Vfaba.Hedin2.R1.1g013960,Vfaba.Hedin2.R1.1g013960.1,GLYMA_18G267900
Vfaba.Hedin2.R1.1g013960,Vfaba.Hedin2.R1.1g013960.1,GLYMA_18G267800
Vfaba.Hedin2.R1.1g013960,Vfaba.Hedin2.R1.1g013960.1,GLYMA_08G248000
Vfaba.Hedin2.R1.1g013960,Vfaba.Hedin2.R1.1g013960.1,GLYMA_08G246700
Vfaba.Hedin2.R1.1g014120,Vfaba.Hedin2.R1.1g014120.1,
Vfaba.Hedin2.R1.1g014440,Vfaba.Hedin2.R1.1g014440.1,GLYMA_08G249500
Vfaba.Hedin2.R1.1g014440,Vfaba.Hedin2.R1.1g014440.1,GLYMA_18G271600
Vfaba.Hedin2.R1.1g014640,Vfaba.Hedin2.R1.1g014640.1,
Vfaba.Hedin2.R1.1g017000,Vfaba.Hedin2.R1.1g017000.1,GLYMA_18G276200
Vfaba.Hedin2.R1.1g017000,Vfaba.Hedin2.R1.1g017000.1,GLYMA_08G253800
Vfaba.Hedin2.R1.1g017440,Vfaba.Hedin2.R1.1g017440.1,
Vfaba.Hedin2.R1.1g018680,Vfaba.Hedin2.R1.1g018680.1,GLYMA_18G278400
Vfaba.Hedin2.R1.1g018680,Vfaba.Hedin2.R1.1g018680.1,GLYMA_08G255500
Vfaba.Hedin2.R1.1g023440,Vfaba.Hedin2.R1.1g023440.1,GLYMA_02G097400
Vfaba.Hedin2.R1.1g023440,Vfaba.Hedin2.R1.1g023440.1,GLYMA_18G284100
Vfaba.Hedin2.R1.1g024560,Vfaba.Hedin2.R1.1g024560.2,GLYMA_16G211300
Vfaba.Hedin2.R1.1g024560,Vfaba.Hedin2.R1.1g024560.2,GLYMA_06G062400
Vfaba.Hedin2.R1.1g024560,Vfaba.Hedin2.R1.1g024560.2,GLYMA_09G162100
Vfaba.Hedin2.R1.1g024560,Vfaba.Hedin2.R1.1g024560.1,GLYMA_16G211300
Vfaba.Hedin2.R1.1g024560,Vfaba.Hedin2.R1.1g024560.1,GLYMA_06G062400
Vfaba.Hedin2.R1.1g024560,Vfaba.Hedin2.R1.1g024560.1,GLYMA_09G162100
Vfaba.Hedin2.R1.1g034040,Vfaba.Hedin2.R1.1g034040.1,GLYMA_15G037100
Vfaba.Hedin2.R1.1g034040,Vfaba.Hedin2.R1.1g034040.1,GLYMA_13G337400
Vfaba.Hedin2.R1.1g034320,Vfaba.Hedin2.R1.1g034320.1,GLYMA_15G037700
Vfaba.Hedin2.R1.1g034320,Vfaba.Hedin2.R1.1g034320.1,GLYMA_15G026700
Vfaba.Hedin2.R1.1g034320,Vfaba.Hedin2.R1.1g034320.1,GLYMA_13G336600
Vfaba.Hedin2.R1.1g034560,Vfaba.Hedin2.R1.1g034560.1,
Vfaba.Hedin2.R1.1g034800,Vfaba.Hedin2.R1.1g034800.1,GLYMA_15G038200
Vfaba.Hedin2.R1.1g034800,Vfaba.Hedin2.R1.1g034800.1,GLYMA_02G184800
Vfaba.Hedin2.R1.1g034800,Vfaba.Hedin2.R1.1g034800.1,GLYMA_13G336100
Vfaba.Hedin2.R1.1g035080,Vfaba.Hedin2.R1.1g035080.1,
Vfaba.Hedin2.R1.1g035160,Vfaba.Hedin2.R1.1g035160.1,GLYMA_13G335300
Vfaba.Hedin2.R1.1g035160,Vfaba.Hedin2.R1.1g035160.1,GLYMA_15G039100
Vfaba.Hedin2.R1.1g035800,Vfaba.Hedin2.R1.1g035800.1,
Vfaba.Hedin2.R1.1g035840,Vfaba.Hedin2.R1.1g035840.1,
Vfaba.Hedin2.R1.1g035920,Vfaba.Hedin2.R1.1g035920.1,
Vfaba.Hedin2.R1.1g036240,Vfaba.Hedin2.R1.1g036240.1,GLYMA_13G333300
Vfaba.Hedin2.R1.1g040120,Vfaba.Hedin2.R1.1g040120.1,GLYMA_19G233300
Vfaba.Hedin2.R1.1g040120,Vfaba.Hedin2.R1.1g040120.1,GLYMA_03G235500
Vfaba.Hedin2.R1.1g040840,Vfaba.Hedin2.R1.1g040840.1,GLYMA_12G172800
Vfaba.Hedin2.R1.1g040840,Vfaba.Hedin2.R1.1g040840.1,GLYMA_13G326200
Vfaba.Hedin2.R1.1g041520,Vfaba.Hedin2.R1.1g041520.1,GLYMA_13G327000
Vfaba.Hedin2.R1.1g041520,Vfaba.Hedin2.R1.1g041520.1,GLYMA_12G173700
Vfaba.Hedin2.R1.1g042640,Vfaba.Hedin2.R1.1g042640.1,GLYMA_15G045300
Vfaba.Hedin2.R1.1g042640,Vfaba.Hedin2.R1.1g042640.1,GLYMA_13G328400
Vfaba.Hedin2.R1.1g043480,Vfaba.Hedin2.R1.1g043480.1,GLYMA_13G329700
Vfaba.Hedin2.R1.1g043480,Vfaba.Hedin2.R1.1g043480.1,GLYMA_15G044400
Vfaba.Hedin2.R1.1g043600,Vfaba.Hedin2.R1.1g043600.2,GLYMA_15G044300
Vfaba.Hedin2.R1.1g043600,Vfaba.Hedin2.R1.1g043600.3,GLYMA_15G044300
Vfaba.Hedin2.R1.1g043600,Vfaba.Hedin2.R1.1g043600.1,GLYMA_15G044300
Vfaba.Hedin2.R1.1g045360,Vfaba.Hedin2.R1.1g045360.1,
Vfaba.Hedin2.R1.1g045400,Vfaba.Hedin2.R1.1g045400.1,GLYMA_13G292500
Vfaba.Hedin2.R1.1g045400,Vfaba.Hedin2.R1.1g045400.1,GLYMA_12G208800
Vfaba.Hedin2.R1.1g046640,Vfaba.Hedin2.R1.1g046640.1,GLYMA_13G294400
Vfaba.Hedin2.R1.1g046640,Vfaba.Hedin2.R1.1g046640.1,GLYMA_12G206500
Vfaba.Hedin2.R1.1g046960,Vfaba.Hedin2.R1.1g046960.1,GLYMA_12G205700
Vfaba.Hedin2.R1.1g046960,Vfaba.Hedin2.R1.1g046960.1,GLYMA_19G138400
Vfaba.Hedin2.R1.1g047240,Vfaba.Hedin2.R1.1g047240.1,
Vfaba.Hedin2.R1.1g048920,Vfaba.Hedin2.R1.1g048920.1,GLYMA_13G298100
Vfaba.Hedin2.R1.1g048920,Vfaba.Hedin2.R1.1g048920.1,GLYMA_12G203600
Vfaba.Hedin2.R1.1g049000,Vfaba.Hedin2.R1.1g049000.1,GLYMA_13G298400
Vfaba.Hedin2.R1.1g049000,Vfaba.Hedin2.R1.1g049000.1,GLYMA_12G110900
Vfaba.Hedin2.R1.1g049000,Vfaba.Hedin2.R1.1g049000.1,GLYMA_12G203400
Vfaba.Hedin2.R1.1g049000,Vfaba.Hedin2.R1.1g049000.1,GLYMA_12G110800
Vfaba.Hedin2.R1.1g049000,Vfaba.Hedin2.R1.1g049000.1,GLYMA_04G113100
Vfaba.Hedin2.R1.1g049000,Vfaba.Hedin2.R1.1g049000.1,GLYMA_09G074500
Vfaba.Hedin2.R1.1g049000,Vfaba.Hedin2.R1.1g049000.1,GLYMA_06G295100
Vfaba.Hedin2.R1.1g049000,Vfaba.Hedin2.R1.1g049000.1,GLYMA_06G295000
Vfaba.Hedin2.R1.1g049000,Vfaba.Hedin2.R1.1g049000.1,GLYMA_19G107200
Vfaba.Hedin2.R1.1g049000,Vfaba.Hedin2.R1.1g049000.1,GLYMA_12G113800
Vfaba.Hedin2.R1.1g049000,Vfaba.Hedin2.R1.1g049000.1,GLYMA_12G110700
Vfaba.Hedin2.R1.1g051600,Vfaba.Hedin2.R1.1g051600.1,GLYMA_13G302100
Vfaba.Hedin2.R1.1g051600,Vfaba.Hedin2.R1.1g051600.1,GLYMA_12G200200
Vfaba.Hedin2.R1.1g051880,Vfaba.Hedin2.R1.1g051880.1,GLYMA_12G199500
Vfaba.Hedin2.R1.1g055800,Vfaba.Hedin2.R1.1g055800.1,GLYMA_13G305300
Vfaba.Hedin2.R1.1g055800,Vfaba.Hedin2.R1.1g055800.1,GLYMA_12G197100
Vfaba.Hedin2.R1.1g055800,Vfaba.Hedin2.R1.1g055800.1,GLYMA_13G305200
Vfaba.Hedin2.R1.1g056240,Vfaba.Hedin2.R1.1g056240.1,GLYMA_13G306100
Vfaba.Hedin2.R1.1g056240,Vfaba.Hedin2.R1.1g056240.1,GLYMA_13G306200
Vfaba.Hedin2.R1.1g056640,Vfaba.Hedin2.R1.1g056640.1,GLYMA_13G306900
Vfaba.Hedin2.R1.1g056640,Vfaba.Hedin2.R1.1g056640.1,GLYMA_12G195500
Vfaba.Hedin2.R1.1g056640,Vfaba.Hedin2.R1.1g056640.1,GLYMA_12G195600
Vfaba.Hedin2.R1.1g056640,Vfaba.Hedin2.R1.1g056640.1,GLYMA_13G307000
Vfaba.Hedin2.R1.1g056800,Vfaba.Hedin2.R1.1g056800.1,
Vfaba.Hedin2.R1.1g056840,Vfaba.Hedin2.R1.1g056840.1,
Vfaba.Hedin2.R1.1g056880,Vfaba.Hedin2.R1.1g056880.1,
Vfaba.Hedin2.R1.1g057040,Vfaba.Hedin2.R1.1g057040.1,
Vfaba.Hedin2.R1.1g058080,Vfaba.Hedin2.R1.1g058080.1,GLYMA_12G193600
Vfaba.Hedin2.R1.1g058080,Vfaba.Hedin2.R1.1g058080.1,GLYMA_13G308900
Vfaba.Hedin2.R1.1g060760,Vfaba.Hedin2.R1.1g060760.1,GLYMA_12G188100
Vfaba.Hedin2.R1.1g061480,Vfaba.Hedin2.R1.1g061480.1,
Vfaba.Hedin2.R1.1g062000,Vfaba.Hedin2.R1.1g062000.1,
Vfaba.Hedin2.R1.1g062080,Vfaba.Hedin2.R1.1g062080.1,GLYMA_12G186100
Vfaba.Hedin2.R1.1g062080,Vfaba.Hedin2.R1.1g062080.1,GLYMA_13G315400
Vfaba.Hedin2.R1.1g063800,Vfaba.Hedin2.R1.1g063800.1,
Vfaba.Hedin2.R1.1g064440,Vfaba.Hedin2.R1.1g064440.1,GLYMA_12G182300
Vfaba.Hedin2.R1.1g064440,Vfaba.Hedin2.R1.1g064440.1,GLYMA_13G318600
Vfaba.Hedin2.R1.1g064480,Vfaba.Hedin2.R1.1g064480.1,
Vfaba.Hedin2.R1.1g064720,Vfaba.Hedin2.R1.1g064720.1,GLYMA_13G318900
Vfaba.Hedin2.R1.1g064720,Vfaba.Hedin2.R1.1g064720.1,GLYMA_12G181900
Vfaba.Hedin2.R1.1g064880,Vfaba.Hedin2.R1.1g064880.1,GLYMA_13G319300
Vfaba.Hedin2.R1.1g064880,Vfaba.Hedin2.R1.1g064880.1,GLYMA_12G181600
Vfaba.Hedin2.R1.1g064920,Vfaba.Hedin2.R1.1g064920.1,GLYMA_12G181500
Vfaba.Hedin2.R1.1g064920,Vfaba.Hedin2.R1.1g064920.1,GLYMA_13G319400
Vfaba.Hedin2.R1.1g065040,Vfaba.Hedin2.R1.1g065040.1,
Vfaba.Hedin2.R1.1g068960,Vfaba.Hedin2.R1.1g068960.1,GLYMA_06G264400
Vfaba.Hedin2.R1.1g069800,Vfaba.Hedin2.R1.1g069800.1,GLYMA_13G287300
Vfaba.Hedin2.R1.1g069800,Vfaba.Hedin2.R1.1g069800.1,GLYMA_12G214300
Vfaba.Hedin2.R1.1g071280,Vfaba.Hedin2.R1.1g071280.1,
Vfaba.Hedin2.R1.1g072920,Vfaba.Hedin2.R1.1g072920.1,GLYMA_13G281300
Vfaba.Hedin2.R1.1g072920,Vfaba.Hedin2.R1.1g072920.1,GLYMA_12G220000
Vfaba.Hedin2.R1.1g074160,Vfaba.Hedin2.R1.1g074160.1,GLYMA_16G048200
Vfaba.Hedin2.R1.1g075600,Vfaba.Hedin2.R1.1g075600.1,GLYMA_12G224300
Vfaba.Hedin2.R1.1g075600,Vfaba.Hedin2.R1.1g075600.1,GLYMA_13G277000
Vfaba.Hedin2.R1.1g076560,Vfaba.Hedin2.R1.1g076560.1,GLYMA_13G275400
Vfaba.Hedin2.R1.1g076560,Vfaba.Hedin2.R1.1g076560.1,GLYMA_13G275600
Vfaba.Hedin2.R1.1g076560,Vfaba.Hedin2.R1.1g076560.1,GLYMA_13G275500
Vfaba.Hedin2.R1.1g076560,Vfaba.Hedin2.R1.1g076560.1,GLYMA_12G225600
Vfaba.Hedin2.R1.1g076600,Vfaba.Hedin2.R1.1g076600.1,GLYMA_13G275400
Vfaba.Hedin2.R1.1g076600,Vfaba.Hedin2.R1.1g076600.1,GLYMA_13G275600
Vfaba.Hedin2.R1.1g076600,Vfaba.Hedin2.R1.1g076600.1,GLYMA_13G275500
Vfaba.Hedin2.R1.1g076600,Vfaba.Hedin2.R1.1g076600.1,GLYMA_12G225600
Vfaba.Hedin2.R1.1g078200,Vfaba.Hedin2.R1.1g078200.1,GLYMA_13G273100
Vfaba.Hedin2.R1.1g078200,Vfaba.Hedin2.R1.1g078200.1,GLYMA_12G227200
Vfaba.Hedin2.R1.1g078280,Vfaba.Hedin2.R1.1g078280.1,GLYMA_12G227300
Vfaba.Hedin2.R1.1g078280,Vfaba.Hedin2.R1.1g078280.1,GLYMA_13G273000
Vfaba.Hedin2.R1.1g079320,Vfaba.Hedin2.R1.1g079320.1,GLYMA_13G271500
Vfaba.Hedin2.R1.1g079440,Vfaba.Hedin2.R1.1g079440.1,GLYMA_12G057800
Vfaba.Hedin2.R1.1g079440,Vfaba.Hedin2.R1.1g079440.1,GLYMA_11G133600
Vfaba.Hedin2.R1.1g079440,Vfaba.Hedin2.R1.1g079440.1,GLYMA_01G085900
Vfaba.Hedin2.R1.1g079440,Vfaba.Hedin2.R1.1g079440.1,GLYMA_04G183900
